3711351
/m/09wprz
/m/09wprz
Johannes Kepler

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
able 1
above 1
allowed 1
an 1
and 5
atmosphere 1
author 1
banished 1
been 1
between 2
bridge 1
by 1
carried 1
darkness 1
decided 2
demon 1
demons 2
denmark 1
down 1
draught 1
drift 1
drowsing 1
duracotus 2
during 2
dwelt 1
earth 2
ease 1
eclipse 1
effects 1
environmental 1
explained 1
fiolxhilda 1
five 1
for 2
given 1
gravity 1
had 1
he 4
her 2
him 1
his 4
hold 1
icelandic 1
instructor 1
is 1
journey 2
lagrangian 1
lunar 2
make 1
moist 1
moon 4
named 1
need 1
nose 1
of 6
on 1
point 1
protection 1
return 1
secrets 1
share 1
she 3
so 1
solar 1
some 2
son 2
sponges 1
story 1
surface 1
tale 1
that 1
the 16
then 1
this 1
thus 1
to 10
transported 1
travel 1
under 1
understood 1
upon 1
via 1
wanted 1
was 4
were 1
who 2
witch 1
with 1
years 1
youth 1
