563269
/m/02qcy7
/m/02qcy7
Graham Greene
1940
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 24
about 1
acquires 1
admits 1
against 1
all 1
almost 1
also 3
although 1
among 2
an 2
and 14
another 1
are 1
area 1
arrival 1
arrives 1
as 6
attempts 1
awkward 1
bad 1
based 1
be 4
been 1
before 1
believes 1
best 1
but 5
by 4
can 1
canabalmdash 1
cannot 1
captures 1
catholic 1
catholicism 1
character 2
child 2
church 4
cleared 1
clergy 1
clericals 1
cold 1
combines 1
committed 1
compelled 1
condemned 1
confession 2
convinced 1
corrupt 1
country 1
cravenness 1
damnation 1
danger 1
decides 1
deep 1
delusion 1
demons 1
denounced 1
desperate 1
despises 1
destroyed 1
diabolic 1
dignity 1
do 1
does 1
down 1
during 1
duty 1
dying 2
element 1
encounters 1
end 1
enlist 1
escapes 1
especially 1
eve 1
everything 2
evil 1
evillooking 1
execution 1
experiences 1
fact 1
faith 1
fathered 1
feel 1
feels 2
figure 1
final 1
finds 1
flight 1
follows 1
for 6
forced 1
from 3
fulfil 1
fundamentally 1
garrido 1
girl 1
given 1
government 1
great 1
had 2
hand 1
happened 1
has 5
haunted 1
he 14
hear 2
her 1
him 1
himself 1
his 11
holiness 1
hostages 1
however 1
hunting 1
if 1
in 12
inhumane 1
into 2
irreproachable 1
is 18
it 3
jos 2
journey 1
judas 1
later 1
lieutenant 9
lieutenantmdashalso 1
little 1
lives 1
living 1
love 1
main 2
man 4
marry 1
meets 1
members 1
mercy 1
mestizo 2
mexico 1
minister 1
morally 1
must 1
nameless 2
neighbouring 1
not 1
nothing 2
of 9
on 3
only 1
opposite 1
order 2
other 3
outlawed 1
padre 2
painful 1
parish 1
penitence 1
pensioner 1
people 3
personal 2
persuades 1
pitiful 1
plan 1
player 1
police 1
posse 1
possible 1
power 2
practice 1
priest 15
priestly 1
priests 1
proves 1
provide 1
province 2
puts 1
quest 1
rather 1
readings 1
real 1
reconnect 1
renounce 1
repentant 1
result 1
return 1
reveals 1
save 1
scene 1
search 1
selfdestruction 1
shooting 1
shot 1
shows 1
socialist 1
sojourned 1
some 1
stands 1
starts 1
state 1
story 2
suggests 1
supposedly 1
suspects 1
taking 1
task 1
that 8
the 50
them 1
then 1
there 1
thinks 1
this 2
though 2
thought 1
through 1
to 15
toms 1
town 2
trap 2
trip 1
trying 1
unable 1
upon 1
village 1
villages 1
what 1
where 2
which 1
while 1
whisky 2
who 6
with 4
woman 1
years 1
yet 1
youth 1
