608858
/m/02w2z5
/m/02w2z5
Edward Bellamy
1888
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0c082": "Utopian and dystopian fiction"}
1 1
10 1
11 1
13 1
15 1
16 1
160 1
1844 1
1th 1
1thcentury 1
2000 1
25 1
26 1
45 1
a 14
about 2
actual 1
additionally 1
advances 1
age 2
agree 1
all 4
almost 1
also 1
although 1
america 1
american 1
amount 1
an 3
and 18
answers 1
any 1
appointing 1
are 2
army 1
around 1
art 1
as 3
associated 1
at 1
atavism 1
available 1
backward 1
based 1
be 2
bear 1
become 1
been 1
behind 1
being 1
bellamy 7
benefits 1
between 1
bj 1
book 3
boston 1
both 1
but 2
cable 1
capacity 1
capitalism 1
capitalist 1
cards 1
case 1
cases 1
century 1
changed 1
chapter 2
chapters 1
character 1
citizens 2
civil 1
classical 1
club 2
clubs 1
colleagues 1
commentators 1
compare 1
comparisons 1
concept 1
conditions 1
confusion 1
considerable 1
consumers 1
cooperatives 1
costco 1
could 1
credit 2
crime 1
crimes 1
criminals 1
cultural 1
current 1
cut 1
cutting 1
dangerous 1
day 1
debtfinance 1
deep 1
defense 1
delivery 1
descriptions 1
despite 1
detail 1
developments 1
dialogue 1
did 1
difficult 1
direct 1
discuss 1
distributed 1
distribution 1
do 1
doctor 1
down 1
drastically 1
eat 1
economic 1
economy 1
employed 1
employer 1
end 1
ended 1
ensure 1
equal 1
equally 1
ethical 1
even 1
everyone 1
example 2
explain 1
explained 1
explains 2
explanation 1
expresses 1
falls 1
fewer 1
finds 2
for 3
formation 1
free 2
frequently 1
full 1
future 2
goods 2
guide 1
has 3
have 2
he 5
him 1
himself 1
his 5
home 1
hours 2
how 3
hundred 1
hypnosisinduced 1
idea 1
ideas 2
if 1
improving 1
in 11
include 1
including 1
independent 1
industrial 1
industry 1
inequality 1
initially 1
inspired 1
instantaneous 1
instruments 1
internetlike 1
into 2
introduces 1
is 6
issue 1
it 2
its 2
jobs 2
judge 1
julian 2
kitchens 1
labeled 1
later 1
leete 3
legal 1
libertarian 1
like 1
loath 1
location 1
looking 1
major 1
man 1
marxism 1
massachusetts 1
may 1
medical 1
medically 1
menial 1
metaphors 1
methods 1
middleman 1
modern 1
more 3
most 1
music 1
must 1
nation 1
nationalisation 1
nationalism 1
nationalist 1
nationally 1
new 2
news 1
no 1
not 3
novel 1
of 22
on 3
one 3
or 4
organise 1
out 1
outlets 1
outlines 1
over 1
own 1
owned 1
people 1
performing 1
philosophy 1
portion 1
predicts 1
presides 1
principles 1
problems 1
production 2
productive 1
professional 1
propagate 1
proposed 1
prosecution 1
provided 1
public 2
readily 1
receive 1
reduced 1
reflect 1
related 1
remainder 1
remaining 1
resemblance 1
resembles 1
retires 1
rochdale 1
sam 1
same 1
sermons 1
shows 1
similar 1
sleep 1
sleeping 1
socialism 4
socialist 3
society 3
sole 1
solution 1
somewhat 2
specialized 1
state 1
states 1
store 1
story 1
such 2
suits 1
system 2
taken 1
technological 1
technology 1
telephone 1
tells 1
term 1
than 1
the 37
themes 1
then 2
these 1
thinks 1
thirteen 1
this 1
those 1
though 1
thoughts 1
through 1
to 12
totally 1
towards 1
transformed 1
treated 1
tried 1
two 1
under 1
united 1
unpleasant 1
up 1
use 2
using 1
utopia 1
vanish 1
various 1
verdict 1
vision 1
wakes 1
warehouse 1
was 2
waste 1
way 1
well 1
west 4
wherein 1
which 2
while 2
who 2
will 1
with 7
work 2
working 1
works 1
world 1
writes 1
year 1
years 1
young 2
