5375711
/m/0dj0_b
/m/0dj0_b
Ian Rankin
2006
2012 1
77 1
a 14
about 1
against 2
ageing 1
agents 1
also 2
although 1
an 1
and 16
any 1
apparent 2
apparently 1
are 3
arms 1
arrive 1
as 4
asked 2
assaulted 1
at 8
attend 1
attending 1
auchterarder 1
back 1
balanced 1
bar 1
be 3
becomes 1
becoming 2
been 1
ben 1
bicycle 1
bid 1
biography 1
black 1
blame 1
blow 1
bombings 1
book 4
borders 1
bouncer 1
branch 1
brother 1
bush 1
busy 1
by 9
cafferty 2
campaigning 1
can 1
carberry 1
castle 1
ceremony 1
charge 1
chief 1
clarke 9
clootie 1
closeness 1
closer 1
clothing 1
clues 1
coasting 1
comes 1
commander 1
compromise 1
constable 1
controversy 1
corbyn 1
councillor 1
course 1
cover 1
created 1
crime 1
crimes 2
daughter 1
david 1
dead 2
dealer 1
defied 1
deliberately 1
demonstration 1
demonstrations 1
demonstrators 1
detective 2
did 1
died 2
disobey 1
distrusted 1
do 2
down 1
drinking 1
due 1
duplicated 1
edinburgh 3
ellen 1
else 1
emerges 1
end 1
enlisted 1
enough 1
events 1
ever 1
every 1
evocation 1
facing 1
falling 1
familial 1
family 3
fears 1
feel 1
finds 1
focus 1
for 5
former 2
friends 2
from 4
funeral 1
g8 2
gangster 1
gareth 1
george 1
getting 1
ghostwritten 1
gleneagles 1
grief 1
grown 1
had 2
has 3
have 2
having 2
he 4
head 1
help 2
helped 1
henderson 1
her 3
herself 1
highlevel 1
him 3
his 10
hold 1
holding 1
hunting 1
identity 1
in 8
increasingly 1
industries 1
insecurity 1
inspector 1
investigation 2
involved 1
iraq 1
is 13
isle 1
it 4
items 1
james 1
john 2
journalist 1
just 1
justsymbolicbecause 1
keen 1
keeping 1
keith 1
killer 1
killing 1
left 2
leftwing 1
life 1
like 2
list 1
local 1
london 1
londonbased 1
lost 1
lothian 1
luck 1
mairie 1
many 1
media 1
meeting 1
michael 1
more 1
morris 1
mother 1
moved 1
mp 1
names 1
naming 2
nbspdid 1
nearing 1
need 1
new 1
niddrie 1
nobody 1
not 1
nothing 1
now 1
obsessed 1
occur 1
occurs 1
of 28
off 1
offenders 1
officer 1
officers 1
older 1
olympic 1
on 4
one 3
opens 1
optics 1
out 2
outranked 1
overseeing 1
own 2
p410 1
parents 3
part 1
pennen 2
photographing 1
place 1
placed 1
plot 1
police 4
policeman 1
policing 1
potential 1
preacher 1
protests 1
purposes 1
put 1
puts 1
quietly 2
read 1
real 2
realises 1
rebus 12
refers 1
relationships 1
rely 1
repeated 1
resting 1
retirement 1
richard 1
riot 1
row 1
same 1
sampling 1
scuffles 1
seems 3
sergeant 1
serial 1
set 2
she 8
shoulder 1
sidelined 2
siobhan 3
smile 1
so 1
so12 1
solve 1
some 1
somewhat 1
sordid 1
special 1
standing 1
steelforth 1
stroke 1
such 1
suddenly 1
suicide 1
summit 2
surrounded 1
suspects 1
suspension 1
suspicion 1
talking 1
technology 1
tench 1
than 1
that 6
the 46
there 1
these 1
they 3
though 1
thrawn 1
thread 1
throughout 1
thug 1
time 2
title 1
to 16
told 1
trade 1
traditionally 1
try 1
turn 1
under 2
underlying 1
understanding 1
unravel 1
until 2
up 1
victim 1
victims 2
w 1
wants 1
war 1
was 2
waving 1
we 1
weapons 1
website 1
webster 2
well 1
went 1
what 1
when 2
where 2
whilst 1
who 5
whom 1
with 3
within 1
work 1
working 1
world 1
would 1
wylie 1
you 3
