45133
/m/0c8sb
/m/0c8sb
Kenneth Grahame
1908
a 41
abandon 1
abortive 1
about 2
abridgements 1
accident 1
accidentally 1
accompanied 1
across 2
addition 1
adventures 2
after 8
again 1
against 1
aimless 1
air 1
all 3
along 1
already 1
although 1
among 1
amongst 1
an 4
and 57
animals 1
announces 1
appear 1
appreciate 1
are 6
armed 1
arrest 1
arrival 1
arrives 2
as 8
at 7
attacked 1
attempting 1
avail 1
avoid 1
awakening 1
away 1
awful 1
back 1
badger 14
badly 1
bamboozles 1
banquet 1
barge 3
bargewoman 1
barks 1
be 5
becomes 1
bed 1
been 2
before 1
begins 1
behaved 1
behaves 1
behaviour 1
behind 1
being 2
believe 1
between 1
blacksmith 1
boat 1
boating 2
book 2
boot 1
botching 1
both 1
but 6
by 10
camp 1
can 1
canal 1
car 8
caravan 4
care 1
carries 1
cars 2
caught 1
causing 1
chance 1
change 1
changes 1
chapter 1
chapters 1
character 1
chores 1
chronicling 1
clean 1
cleaning 1
close 1
clothes 2
comes 1
comfort 2
compensating 1
complaint 1
conceited 1
contains 1
continue 1
cosy 1
crashed 1
craze 2
crazy 1
cross 1
current 2
custodians 1
dance 1
daughter 1
dawn 1
day 3
days 2
decide 1
deciding 1
declaring 1
deep 1
deliberately 1
denizens 1
describes 1
despite 1
digging 1
direction 1
disguised 3
ditch 1
do 1
does 2
domum 1
done 1
door 1
doormat 1
doorstep 1
down 1
dozes 1
dramatizations 1
draw 1
dressinggown 1
drive 1
driven 2
drivers 1
drives 2
dry 1
dulce 1
during 1
duty 1
earlier 2
earnest 1
effort 1
elusive 1
encounter 1
end 1
ends 1
enemies 1
enroute 1
enter 1
equipping 1
escape 1
escapes 1
ever 1
evil 1
exchange 1
exhausted 1
experience 1
explore 1
faces 1
fact 2
fads 1
fall 1
familiar 1
father 1
featuring 1
feigning 1
ferrets 1
fight 1
finally 1
find 4
finding 3
finds 1
fine 1
fines 1
flags 1
flees 2
following 1
food 1
for 9
former 2
fortune 1
four 1
free 1
friendly 1
friends 3
fright 1
from 9
furiously 1
gains 1
gates 1
get 2
gets 2
give 1
given 1
go 4
god 1
goes 2
gone 2
good 1
goodnatured 1
grand 1
grow 1
guard 1
guarding 1
guards 1
guesses 1
gullibility 1
gypsy 1
hall 4
happens 1
happily 1
has 10
hastens 1
have 3
having 3
he 22
heading 1
hears 1
help 2
helps 1
here 1
hides 1
him 11
himself 4
his 26
hitchhiking 1
holding 1
holds 1
home 6
honour 1
hope 2
hoping 1
horse 2
horsedrawn 2
hospitalised 1
hot 1
house 3
how 2
however 1
humbly 1
identity 1
illness 1
immediate 1
impulsively 1
in 22
independent 1
inherited 1
inn 1
instead 1
into 4
intruders 1
is 12
it 5
its 1
jailer 1
join 2
jovial 1
kindhearted 1
knowing 2
knows 1
large 1
law 1
leader 1
leads 1
learns 1
lesswelcoming 1
lest 1
life 1
lift 2
literally 1
live 2
lives 2
longer 1
loses 1
loss 1
lost 1
main 1
make 2
makes 2
making 1
many 2
mark 1
marks 1
may 2
meanwhile 2
meet 2
meeting 1
meets 1
memories 1
mend 1
mess 1
mind 1
mirth 1
missing 1
mission 1
mole 23
moment 1
money 1
more 2
most 1
motor 5
narrative 1
near 1
nearest 1
necessary 1
need 1
never 1
nevertheless 1
no 3
nonetheless 1
not 2
nothing 1
now 1
obsessed 1
obsession 2
obvious 1
of 22
off 1
offers 1
often 1
omitted 1
on 10
once 3
one 2
only 3
or 1
order 1
organise 1
other 1
otter 1
out 4
outraged 1
over 1
overshadow 1
overturn 1
owner 1
owners 1
pan 2
panic 1
part 1
party 1
passengers 1
passing 2
passion 1
patience 1
patient 1
pay 2
permit 1
persuades 1
piper 1
pistol 1
plan 1
pleasure 1
police 4
portly 1
possessions 1
pounce 1
prison 2
protect 1
pursued 2
put 1
quickly 1
quietly 1
quite 1
rat 24
ratty 3
realises 1
realities 1
recently 1
recklessly 1
recognizing 1
rediscovers 1
refuses 2
regularly 1
reluctant 1
remain 1
remembrance 1
removes 1
replaced 1
