10978753
/m/02qx0f3
/m/02qx0f3
Will Self
1994-06-10
a 6
acts 1
also 2
alternate 2
an 3
and 6
are 1
art 1
arts 1
as 4
aspects 1
at 1
be 2
begins 1
behest 1
benafactor 1
bestiality 1
bildungsroman 1
bizarre 1
black 2
boy 2
brighton 1
broadhurst 3
by 1
caravan 1
character 1
characters 1
children 1
controller 2
could 1
culminates 1
deformed 1
disturbing 1
education 1
engages 1
events 1
example 1
exchange 1
fat 2
finds 1
for 1
from 2
grotesque 1
grows 1
hallucinatory 1
he 1
his 2
however 1
ian 2
in 6
including 1
inhabited 1
is 2
it 1
jokes 2
journey 1
just 1
knowledge 1
known 1
land 1
learns 1
life 1
lonely 1
magic 1
main 1
meant 1
menacing 1
more 2
mother 1
mr 3
narrator 1
necrophilia 1
novel 3
of 7
often 1
on 1
or 1
outside 1
over 1
oversexual 1
park 1
protagonist 2
real 1
reality 1
rites 1
seen 1
series 1
strange 3
take 1
takes 1
tenant 1
that 1
the 15
time 1
to 3
travel 1
trips 1
unclear 1
universe 1
unreliable 1
up 1
violent 1
wharton 1
whether 1
which 1
who 2
with 1
works 1
