4291216
/m/0bvfby
/m/0bvfby
Margery Allingham
1931
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 17
about 2
after 1
alibi 1
all 1
allowed 1
almost 1
along 1
also 1
amnesia 1
amongst 1
an 4
analyses 1
and 28
andrew 14
another 1
approaches 1
around 1
arranging 1
arrive 1
arrives 2
at 3
attack 1
aunt 1
b 1
back 1
bad 1
badly 1
be 1
bed 2
been 6
before 1
being 1
beveridge 3
bizarrest 1
blackouts 1
blade 1
blount 1
body 3
boobytraps 1
bound 1
bowler 1
bridge 2
bring 1
but 3
by 5
cambridge 1
campion 17
caroline 4
case 1
chalk 1
church 1
claiming 1
clearly 1
client 1
clutch 1
communicate 1
conium 1
cord 1
corridor 1
could 1
cousin 2
cup 1
cut 2
cyanide 1
cyanidestuffed 1
dead 2
death 1
denies 1
denounces 1
device 1
disappearance 1
drawn 1
drunk 1
everyone 1
explains 1
faints 1
fall 1
family 4
famous 1
faraday 1
featherstone 1
feckless 1
fiancee 1
find 1
finds 5
followed 1
for 3
found 5
friend 3
from 4
gardens 1
george 6
gets 1
gifts 1
girlfriends 1
gratitude 1
greataunt 3
gun 2
had 2
hand 1
has 7
hat 2
having 2
he 9
head 2
heads 1
hears 2
help 1
her 3
hid 1
hidden 1
him 4
himself 1
hires 1
his 7
hits 1
holmes 1
home 1
house 6
idea 1
imperious 1
in 18
including 2
inquest 1
insisting 1
inspect 1
interesting 1
into 2
is 10
it 1
joyce 2
julia 3
killed 3
know 1
largefooted 1
later 1
learns 1
leaves 1
letter 1
library 1
like 1
live 1
locked 1
man 2
marcus 4
matters 1
meets 3
midst 1
mild 1
missing 4
more 2
morning 3
murder 2
murdered 1
mysterious 2
named 1
news 2
next 1
night 1
nothing 1
oates 7
of 15
off 1
old 3
on 3
one 2
over 1
pill 1
pills 1
pipe 1
placed 1
places 1
poison 1
poisoned 2
poisoning 1
power 1
presumably 1
previously 1
problem 1
pub 1
rarely 1
reaches 1
recognises 1
relatives 1
resolve 1
returns 1
reveals 1
revolver 1
room 4
runs 1
same 1
scandal 1
scare 1
scene 1
secretly 1
seen 2
service 1
several 1
she 2
sherlock 1
shot 2
sign 1
similar 1
smell 1
solicitor 1
solve 1
some 3
spots 1
stalker 2
stanislaus 1
stash 1
stay 1
story 2
stranger 1
stream 1
strong 1
stylised 1
suffering 1
surruptitious 1
suspect 1
suspects 1
swapped 1
symbol 1
tackles 1
tea 1
teacup 1
telling 1
that 3
the 38
them 2
themselves 1
then 1
there 1
they 1
thor 1
threatening 1
tied 1
time 1
to 10
took 1
traces 1
tramp 1
tramps 1
tree 1
uncle 5
unused 1
up 1
used 2
verdict 1
visits 1
waiting 1
was 3
watched 1
way 1
weightloss 1
went 1
when 3
where 2
which 4
while 1
who 5
william 6
windows 1
with 4
writing 1
