9633812
/m/02pmldw
/m/02pmldw
James BeauSeigneur
2004-02
a 20
about 1
acceptance 1
achieve 1
acknowledge 1
address 1
advisors 1
africa 1
after 4
against 1
age 2
ago 1
aid 1
alaska 1
albert 1
all 2
allows 1
almahdi 1
almost 1
also 1
alter 1
alternate 1
although 1
america 1
among 1
amongst 1
amount 2
amounts 1
an 1
and 35
animal 1
anything 1
apostle 1
appear 1
approached 1
are 6
ark 1
arrive 1
arsenic 2
as 13
asia 1
assassinated 1
assassination 1
assumes 1
asteroid 7
asteroids 3
at 4
atmosphere 2
attention 1
basin 1
be 1
became 1
become 1
been 1
began 1
behold 1
being 3
beings 3
believing 1
bent 1
billion 1
birth 1
blamed 1
body 1
both 1
brazil 1
brink 1
but 1
by 8
called 2
can 1
canada 1
capable 1
cause 1
caused 1
causes 1
causing 1
central 1
chinaindiapakistan 1
christ 4
christopher 16
cities 1
citizens 1
clone 1
close 2
coffin 1
cohen 3
collides 1
collision 2
columbia 1
coming 1
conclusion 1
contains 1
contents 1
continues 1
cooperation 1
council 2
course 2
covenant 1
creating 2
creatures 1
crops 1
cult 1
curve 1
damage 2
damar 1
days 1
dead 1
death 1
decker 6
deflect 1
desecrating 1
despised 1
destroy 2
destroys 1
destruction 1
die 1
dies 1
directly 1
discovered 3
discovers 1
do 1
does 1
donafin 1
dreamed 1
due 1
during 1
dust 2
each 1
earth 7
east 1
eastern 2
en 1
enough 1
enter 1
entire 2
entrance 1
equal 1
euphrates 1
europe 1
european 1
eventually 1
everyone 1
evolutionary 7
evolve 1
evolved 1
exit 1
explain 1
explained 2
explosion 1
families 2
famine 1
figures 1
filled 1
final 1
first 1
five 1
flood 1
floor 1
flying 1
footing 1
for 3
force 1
four 1
friend 1
from 6
funeral 1
further 1
gain 1
gained 2
general 1
give 1
global 1
god 1
godhead 1
goes 1
goodman 6
great 1
grieving 1
ground 1
had 3
hand 1
hands 1
harbingers 1
has 1
hawthorne 2
he 9
healed 1
healing 1
heaven 1
help 1
him 3
his 10
hold 1
homicidal 1
hosts 1
however 1
huge 1
humanity 2
humankind 2
humans 2
hundreds 1
if 1
image 1
impact 1
in 9
including 1
incredible 1
injecting 1
inside 1
intention 1
into 3
iron 1
is 8
israel 1
issue 1
it 5
its 1
jerusalem 1
jesus 1
jewish 2
john 3
kdp 1
killing 2
knowledge 1
koum 1
laid 1
large 1
launched 1
launches 1
leaders 1
leaps 1
level 1
light 2
located 1
locust 2
locustlike 1
longer 1
loss 1
madness 3
make 1
makes 1
masse 1
massive 1
may 1
member 2
members 1
membership 1
memory 1
men 1
messiah 1
mexico 1
midair 1
middle 1
milner 5
missiles 2
months 1
moore 1
more 1
most 1
mount 1
mouth 1
much 1
muhammad 1
named 1
nations 3
near 1
nears 1
neurotoxin 1
new 1
next 1
no 1
nominated 1
northern 1
not 1
now 2
nuclear 2
obliterated 1
ocean 2
of 40
off 2
old 1
on 9
one 4
only 3
or 1
order 2
other 5
out 1
outbreak 1
outside 1
ozone 1
pacific 2
painful 1
parallel 1
passes 1
patar 1
people 5
philippine 1
place 1
plagues 6
plans 1
poisoned 1
poisoning 1
popular 1
power 1
powers 1
press 1
presumably 1
previously 1
primary 1
process 1
proclaims 2
prophecies 3
prophesied 1
provide 1
put 1
quickly 2
radical 1
rally 1
rampaging 1
rather 1
rays 1
reached 1
recognized 1
red 1
reincarnation 1
religions 1
relinquish 1
remains 1
resolve 1
responsible 1
resurrected 1
river 1
robert 2
roof 2
russia 1
rust 1
sacrifices 1
same 2
saul 1
saying 1
sea 1
seat 1
second 2
secretary 1
security 2
seizmic 1
sends 1
sent 1
series 1
serve 1
sets 1
several 1
shift 1
shock 1
should 1
single 1
siphons 1
soon 1
soothes 1
south 1
southeastern 1
southern 1
speaking 1
species 2
speech 1
speed 1
spirit 1
spirits 1
spiritual 1
spreads 1
stagnated 1
starts 1
state 1
states 2
stave 1
step 7
still 1
stop 1
stricken 1
striking 1
stung 1
sun 1
supernatural 1
supply 1
surround 1
survivors 1
suspended 1
swarms 1
swipe 1
take 1
taken 1
takes 1
talk 1
temple 8
than 1
that 11
the 91
theata 1
theatan 2
theatans 4
their 2
them 3
there 2
these 1
they 6
theyre 1
third 1
this 4
three 2
through 2
throughout 2
throws 1
time 2
to 20
tom 1
took 2
toward 1
trajectories 1
travel 1
turned 1
two 2
ultraviolet 1
un 3
united 3
until 1
up 1
upheaval 1
vacant 1
villages 1
voluntary 1
wall 1
war 3
was 7
water 1
wave 1
way 1
well 2
were 1
when 1
which 4
who 2
whole 1
will 2
wish 1
with 11
wonders 1
world 2
worldwide 1
worse 1
yahweh 5
years 1
