7932985
/m/026kk3f
/m/026kk3f
Myrtle Reed
1909

about 1
after 1
all 1
allison 1
along 1
an 2
and 9
are 2
at 1
aunt 1
bernard 1
but 1
by 1
changed 1
characters 1
colonel 1
confines 1
cousin 1
crosby 1
decade 1
descriptions 1
doctor 1
even 1
fit 1
focus 1
follows 1
francesca 1
friend 1
friendships 1
garden 1
grown 1
hearts 1
help 1
helps 1
her 1
his 1
historical 1
how 1
impossible 1
in 4
is 1
isabel 1
it 3
kent 1
limited 1
little 1
lives 5
madame 1
naught 1
neighbour 1
not 1
novel 1
of 5
old 1
or 1
other 1
own 2
reader 1
return 1
rose 1
set 2
setting 1
shape 1
significant 1
society 1
son 1
specializes 1
story 1
sure 1
that 2
the 11
their 6
through 1
tight 1
to 1
together 1
town 1
twins 1
unconventional 2
understand 1
uninhibited 1
visitor 1
ways 1
which 1
who 1
whose 1
widescope 1
widowed 1
with 1
world 1
young 1
youths 1
