5184863
/m/0d6s6c
/m/0d6s6c
Georgette Heyer
1951
{"/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
7th 1
a 15
able 1
about 3
abroad 1
achieved 1
acquaintance 2
admits 1
after 2
against 1
agrees 1
alarming 1
all 2
also 2
although 2
an 3
ancient 1
and 21
another 1
antisocial 1
appears 2
are 4
area 1
army 2
arrive 1
arrives 1
as 7
assume 1
at 6
attacked 1
attempted 1
attempts 1
attend 1
avoid 1
back 1
ball 3
baronet 1
be 3
beautiful 1
beauty 1
bedroom 1
been 2
before 1
begin 1
behind 2
being 2
believes 1
between 1
big 1
both 1
bridge 1
brother 1
but 1
button 1
by 2
called 1
can 1
causing 1
charm 1
child 1
children 1
consequently 1
contact 1
control 1
cousin 2
cross 1
damaged 1
daughter 1
day 1
death 1
despite 1
die 2
disappears 1
disappointed 1
discovers 1
ditch 1
does 2
dowager 1
dramatic 1
drusilla 3
earl 1
ends 1
engaged 1
enthusiasm 1
equanimity 1
erth 4
everyone 1
except 1
expected 1
extremely 2
fairly 2
fallen 1
family 1
fatal 1
father 1
fencing 1
fight 1
finally 1
finds 1
firing 1
first 1
fishy 1
fled 1
flooding 1
foil 1
fond 1
for 5
fortune 1
found 1
frant 1
friend 2
friends 1
from 2
function 1
gentry 1
gervase 20
gives 1
good 1
grandmother 1
had 7
halfbrother 1
handkerchief 1
happen 1
happens 1
happily 1
has 3
have 2
having 2
he 10
heir 1
her 6
high 1
highly 1
him 8
himself 1
his 14
home 1
hopes 1
horse 2
hotly 1
however 1
husband 1
idea 1
ill 1
impressed 1
in 8
incidents 1
india 1
indies 1
inherited 3
injury 1
instead 2
into 2
is 20
it 4
lady 4
later 1
less 1
life 1
lives 1
local 1
longterm 1
lucian 2
lucy 1
made 1
make 1
making 1
marianne 6
martin 11
master 1
match 1
maternal 1
meanwhile 1
meeting 1
member 1
more 1
much 2
must 1
nabob 1
napoleon 1
new 1
not 2
of 7
off 1
officer 1
old 1
older 1
on 4
one 1
only 1
organize 1
out 2
panelled 1
particularly 1
passion 1
peerage 1
people 1
person 2
plain 1
plantation 1
police 1
practical 1
proves 1
pursued 1
rapidly 1
rate 1
rather 3
reappears 1
receives 1
recovered 1
residing 1
resolves 1
resounding 1
returns 1
rich 1
rides 1
riding 1
room 1
routine 1
sabotaged 1
scandal 1
sceptical 1
seat 1
see 2
seek 1
selfcentred 1
sent 1
sets 1
settles 1
she 2
shooting 1
shoots 1
short 1
shortlived 1
should 1
sir 2
sister 1
sleeps 1
so 2
some 2
someone 4
soon 1
spent 1
st 4
stanyon 6
stepmother 2
steward 1
story 2
success 2
successful 1
taken 2
tell 1
than 1
that 4
the 23
their 1
theo 6
there 1
therefore 1
these 1
they 2
things 1
thinking 1
this 2
thomas 2
throws 1
tied 1
time 2
to 19
too 1
tripwire 1
two 2
unexpectedly 1
unromantic 1
up 3
upon 1
upsets 1
verging 1
visit 1
wakes 2
wanted 1
was 2
way 1
ways 1
well 1
west 1
when 1
which 2
while 2
who 8
whom 1
whose 1
with 10
without 1
would 1
young 2
younger 1
