1556329
/m/05b2_w
/m/05b2_w
Don DeLillo
1972-03
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 1
accessible 1
and 2
as 1
but 2
challenged 1
contemplating 1
deep 1
delillo 1
dialogue 1
early 1
easily 1
end 1
football 2
gary 1
girl 1
in 1
is 2
its 1
line 1
make 1
meditative 1
metaphor 1
most 1
mostly 1
myna 1
named 1
nature 1
nuclear 1
of 2
perhaps 1
picnicking 1
playful 1
playing 1
spends 1
spry 1
the 3
themes 1
time 1
ultimately 1
unconnected 1
warfare 4
with 1
works 1
zone 1
