487133
/m/02gcnn
/m/02gcnn
Noam Chomsky
2003-11
{"/m/05r79": "Political philosophy", "/m/05h83": "Non-fiction"}
1 1
10 1
151 1
180s 1
185 1
2002 1
2003 3
20th 1
455 1
a 15
abolition 1
about 1
abuses 5
accepted 1
across 2
actions 5
actively 1
activities 1
actually 1
administration 3
advocated 1
affairs 1
afghan 1
afghanistan 1
after 1
against 5
aggression 1
alanfal 1
albanian 1
all 2
allied 1
allies 1
allowing 1
ally 2
also 1
america 2
american 4
an 7
analysis 1
and 38
animosities 1
antiamerican 1
are 2
argues 9
arguing 1
as 14
asia 1
asserts 1
at 10
attack 2
attempt 1
attempts 1
attention 1
attitude 1
background 1
backing 2
backlash 1
ballistic 1
bay 1
be 6
because 1
beginning 1
belief 1
believe 1
believes 1
biological 2
bombing 1
both 6
british 1
bush 1
but 2
by 9
calls 1
campaign 2
capitalism 1
capitalist 2
castro 1
cauldron 1
cause 1
central 2
century 1
chapter 9
chemical 1
china 1
chomsky 11
citing 1
citizens 1
claim 1
claimed 1
cleansing 1
collapse 1
colombia 1
comes 1
complete 1
concepts 1
concerned 1
conflict 3
connection 1
continually 4
continue 1
contra 1
contrasting 1
corporate 1
creating 1
criteria 1
criticising 1
criticism 1
criticize 1
criticizes 1
critique 1
critiqued 1
cuba 1
cuban 1
cubana 1
dangerous 1
decline 1
decrease 1
defended 1
defense 1
defenseless 1
demands 1
democracies 1
democratic 1
demographic 1
described 1
description 1
destruction 2
development 2
dilemmas 1
disabled 2
discusses 3
discussing 1
discussion 1
dismissive 1
distract 1
do 2
doctrine 1
dominance 2
double 1
drug 1
early 1
east 4
eastern 2
economic 4
efforts 2
eighth 1
elite 3
embargo 1
empire 1
employed 1
encouraging 3
enemies 1
enlightenment 1
enough 1
ensure 1
entire 1
entitled 1
era 1
eradicate 1
ethnic 1
europe 1
european 1
evidence 1
evil 1
examine 1
example 3
examples 1
expense 2
exploitation 1
explored 1
explores 3
exploring 2
facing 1
fact 3
fear 1
few 1
fidel 1
fight 1
final 1
financial 1
finding 1
first 3
five 1
flight 1
focused 1
focuses 1
focusing 1
for 8
forbidden 1
forces 1
foreign 2
form 1
former 2
fourth 1
france 1
francisco 1
from 2
funding 1
further 2
furthering 1
furthermore 1
gas 1
general 1
genuinely 1
germany 1
global 3
goes 1
government 15
governments 3
grand 1
greatest 1
grenada 1
groups 1
had 4
halabja 1
has 9
have 3
he 20
hegemony 3
helping 1
her 1
highlighting 2
highlights 3
his 2
historical 1
holocaust 1
hope 1
how 1
however 1
human 6
humanitarian 1
humanity 1
humiliate 1
hussein 3
idea 2
if 1
ignorance 1
ignored 3
ignoring 1
ii 2
illegal 1
imminent 1
imperial 1
important 2
in 36
including 2
increased 2
increasing 1
india 1
indonesia 1
install 2
instances 1
instead 2
interest 1
interests 2
international 4
internationally 1
intervened 1
intervening 1
intervention 1
interventionism 3
introduction 1
invasion 4
involved 2
iran 1
iraniraq 1
iraq 6
iraqi 2
is 6
island 1
israel 2
israeli 1
israelipalestinian 1
it 6
its 11
itself 2
james 1
jeopardy 1
junta 1
just 2
justice 1
kemal 1
killing 2
kingdom 1
klinghoffer 1
kosovans 1
kosovo 2
kuwait 1
latin 2
latter 1
law 1
leading 2
leftist 1
leon 1
liberal 1
libya 1
like 1
likes 1
lippman 1
little 1
long 1
longstanding 1
looks 5
madison 1
mainstream 1
maintains 1
majority 2
manner 2
mass 4
matter 1
may 1
media 4
merely 1
middle 4
militant 1
militarily 1
militarization 3
military 3
militias 1
milosovic 1
missile 1
monroe 1
more 1
motivated 1
moving 1
murdered 1
must 2
namely 1
nation 1
nationalist 1
nations 2
nato 1
ndash 9
neoliberalism 1
never 1
new 1
nicaragua 2
nicaraguan 1
nightmare 1
no 1
not 2
notes 1
noting 1
nuclear 4
number 2
obedient 1
of 58
oil 1
on 5
one 1
only 2
opens 1
opinion 3
oppose 1
opposed 2
other 3
outcry 1
outer 1
own 2
pakistan 1
palestinian 3
paramilitary 1
part 1
passing 1
peace 3
people 3
perpetrated 1
perpetrators 1
pigs 1
played 1
poison 1
policy 1
politically 2
pollution 1
poor 1
populace 1
population 1
portray 1
portrayed 1
postworld 1
poverty 1
power 1
president 1
press 1
prevent 1
preventative 2
primarily 1
priorities 1
privatization 1
proceeding 1
process 1
propaganda 1
prospects 1
protect 1
protecting 1
provides 1
public 5
puppet 1
purposes 1
putting 1
rather 1
reagan 2
recognized 1
refer 1
reformers 1
regarding 1
regime 1
region 2
relationship 2
remained 1
repeatedly 1
resistant 1
resources 1
rhetoric 1
right 2
rights 4
role 7
russia 1
sabotaging 1
saddam 2
same 3
san 1
scapegoats 1
second 2
security 1
serbian 2
seven 1
shaped 1
shaping 2
should 1
similar 1
simple 1
simultaneously 1
since 2
situation 1
sixth 1
slobodan 1
socialist 1
socioeconomic 1
some 1
something 2
somoza 1
soviet 1
space 2
squads 1
standard 1
standards 1
start 1
state 1
states 2
still 1
strategy 1
subsequently 1
such 5
superpower 1
support 1
supported 1
supporting 4
survival 3
systems 1
take 1
targets 2
term 1
terror 1
terrorism 2
terrorists 1
than 2
that 30
the 142
their 5
then 5
there 2
thereby 1
these 2
they 4
those 1
threat 2
threaten 1
threatens 1
threats 2
three 1
thrive 1
through 2
throughout 2
time 1
times 1
to 37
took 1
topple 1
towards 1
trade 1
training 1
treatise 1
treaty 1
trouble 1
truisms 2
truths 1
trying 1
turkey 1
turning 1
turns 2
two 2
ultimate 1
under 1
undermine 1
undermined 1
union 1
united 1
us 37
use 1
useful 1
using 2
utilized 1
virtually 1
walter 1
wanted 1
wanting 1
war 10
warfare 1
warheads 1
warnings 1
was 4
way 1
weaken 1
wealthy 1
weaponry 1
weapons 3
welfare 2
well 2
were 4
western 4
what 1
when 1
which 5
while 1
who 6
whom 1
widely 1
widespread 2
wing 1
with 8
world 5
worldwide 1
worth 1
would 2
years 1
zughayer 1
