323063
/m/01vs43
/m/01vs43
Arundhati Roy
1997-06-09
13 1
16 2
31 1
31yearsold 1
a 32
abandoned 1
about 1
accident 1
accuses 1
accusing 2
across 1
actual 1
adolescence 1
affair 2
afraid 2
after 6
again 3
against 2
age 3
airline 1
airport 1
alarmed 1
alcoholic 1
alleged 1
alone 2
also 1
although 1
america 2
ammu 14
amongst 1
an 8
and 56
another 3
apparent 1
are 7
around 2
arrest 2
arrive 1
as 4
assists 1
associate 1
at 8
attempted 1
attempts 1
attraction 1
aunt 1
avoid 1
away 2
ayemenem 8
aymanam 1
baby 14
back 2
banished 1
be 1
beat 1
beating 1
beats 1
become 1
becomes 2
becoming 2
been 3
before 1
begin 1
begins 1
being 3
berates 1
big 1
birth 2
bitter 2
blames 1
boat 1
body 1
bond 1
book 2
boss 1
both 1
bring 1
brother 1
brought 1
business 1
but 2
by 4
calamity 1
calcutta 1
called 2
calls 1
can 1
capsizes 1
captures 1
car 2
carpenter 1
caste 3
catholic 1
cause 1
causes 1
chacko 9
chant 1
chapter 1
chief 1
childhood 1
children 6
christian 1
christmas 1
chronological 1
circumstances 1
claims 1
closed 1
closer 2
cochin 1
come 2
comes 1
communism 1
communist 4
communists 1
conjunction 1
convent 3
convinces 3
cost 1
counter 1
cousin 1
crossing 1
crowd 1
culminates 2
dalit 1
daughter 2
day 2
deadend 1
death 5
decide 1
deep 1
deeply 1
delights 1
describes 2
desperate 1
despite 1
dies 2
diploma 1
discovered 1
discovers 1
distant 1
distraught 1
disturbed 1
divorce 1
divorced 1
down 2
dowry 1
drowns 1
dry 1
due 2
during 1
each 2
education 1
encounter 3
encounters 1
ends 1
english 2
escape 1
estate 1
estha 13
events 2
eventually 2
ever 2
exposed 1
extremely 1
eyes 2
facets 1
factors 1
factory 3
fallen 1
falsely 1
family 5
father 6
fear 1
fell 1
females 1
few 2
finally 2
find 2
first 2
flag 1
for 14
force 1
forced 1
form 1
forth 1
found 1
frame 1
fraternal 2
from 5
future 1
gardening 1
generations 1
get 1
gets 1
gifted 1
girl 2
gives 1
go 1
goes 3
gradually 1
grandaunt 1
griefridden 1
group 2
guilt 1
had 8
hair 1
hands 1
harbor 1
has 2
hatred 1
haunted 2
have 2
having 1
he 4
hearing 1
heart 1
heavy 1
her 34
here 1
herself 1
him 7
hindu 1
his 13
hits 1
hold 1
home 1
honorific 1
horrific 1
hostility 1
house 2
humiliating 1
humiliation 1
hunt 1
husband 2
hysterically 1
illtempered 1
impoverished 1
in 34
india 4
indispensable 1
injuries 1
inside 1
instinctively 1
intervening 1
intimacy 1
into 2
invites 1
ipe 2
ipes 1
irish 1
is 18
it 4
job 3
jobs 1
joe 1
joined 1
keep 1
kerala 2
keralite 1
kicks 1
kidnapped 1
killed 1
kissed 1
knew 1
knows 1
kochamma 16
kottayam 1
last 1
later 2
lay 1
lead 1
leave 1
leaves 1
lemondrink 1
let 1
liberally 1
life 3
lines 1
little 1
live 2
living 2
local 1
locked 1
lonely 1
longsuffering 1
look 1
love 7
loved 1
lowest 1
lurked 1
machinery 1
make 3
makes 1
malayalam 1
mammachi 1
man 5
managing 1
mangosteen 1
manipulates 1
margaret 6
margarget 1
marriage 1
married 2
marries 1
matter 1
meaning 1
mechanic 1
millstones 1
misfortune 2
mob 1
mol 3
molested 1
months 1
more 2
mostly 2
mother 3
much 1
mulligan 2
music 1
naaley 1
name 1
named 2
narrative 2
navomi 1
neck 1
neither 1
never 1
night 2
no 2
note 1
novel 5
now 1
nowhere 1
obtained 1
of 27
old 1
on 3
once 3
one 2
optimistic 1
or 1
orangedrink 1
order 2
ornamental 1
other 2
others 1
out 2
over 2
oxford 1
pappachi 3
paradise 1
parents 1
part 1
pasts 1
perpetually 1
person 1
pick 1
picking 1
pickle 2
pickles 1
place 1
police 4
policemen 1
presence 1
preserves 1
priest 1
primarily 1
promise 1
proposal 1
prostitute 1
protesters 2
rage 1
rahel 11
rape 1
reach 1
realize 1
realized 1
red 1
referred 2
relationship 2
relevant 1
remained 1
renewed 1
repairing 1
rescuing 1
resentment 1
responsible 3
rest 1
result 1
return 1
returning 1
returns 4
reunited 2
reveal 1
reveals 1
river 1
roman 1
room 1
rose 1
run 1
savagely 1
save 1
say 1
scene 1
scriptures 1
second 1
see 1
sees 3
send 1
sending 1
servant 1
served 1
set 1
setting 1
seven 1
sevenyearold 1
several 1
sexual 1
she 17
shifts 2
shortlived 1
shortly 1
silent 1
since 1
sister 1
skills 1
sleeping 1
slogan 1
small 2
snack 1
so 2
sofa 1
some 1
sophie 10
sound 1
spend 2
state 1
status 1
stemming 1
stood 1
story 2
stuck 2
study 2
studying 1
sufficient 1
summer 1
surround 1
survived 1
syrian 1
system 1
take 1
takes 2
tea 1
tell 1
temporal 1
that 13
the 85
theater 2
their 7
them 7
there 2
they 10
things 3
thinks 1
thirtyone 1
this 1
threaten 1
threatened 1
threatens 1
throughout 1
tickets 1
time 3
title 1
to 58
together 1
told 1
tomorrow 3
touchable 1
towards 1
town 1
tragedy 1
tragic 1
tree 1
tricks 1
truth 2
trying 1
turbulent 1
turned 1
twin 1
twins 10
two 1
ultimately 2
unable 2
understand 1
understands 1
unlikely 1
unmarried 1
unrequited 1
unrest 1
untouchable 3
up 3
upon 1
used 1
velutha 19
vendor 1
viewpoint 1
visits 1
vomits 1
vows 1
walk 1
was 1
watched 1
wave 1
way 3
were 1
when 5
where 3
which 1
while 3
who 4
whom 1
whose 1
will 1
wishes 1
with 15
without 1
witnessing 1
woman 1
words 1
workers 1
working 2
works 1
written 1
wrongful 1
years 5
yet 1
young 3
