6564761
/m/0gbsxh
/m/0gbsxh
Martin Caidin
1972-04
a 17
adjectivalsounding 1
adjective 1
against 1
agent 1
agrees 1
all 2
almost 1
also 1
alterations 1
american 1
an 2
and 9
are 1
arm 1
as 5
astronautturnedtest 1
at 2
attempts 1
austin 6
battering 1
be 1
being 1
bionic 2
bionics 6
blind 1
body 1
bone 1
both 2
branch 1
built 1
but 1
by 1
caidin 2
camera 1
capable 1
catastrophic 1
changed 1
chief 1
close 1
comes 1
commit 1
committed 1
context 1
crash 2
cyborg 2
dart 1
destroyed 1
details 1
dexterity 1
dr 1
during 1
east 1
eg 1
experiences 1
extremism 1
eye 3
false 1
female 1
field 1
fingers 1
first 2
flight 1
for 2
form 2
friend 1
from 1
gets 1
goldman 1
government 1
great 1
greek 1
gun 1
half 1
hand 1
happens 1
has 1
he 2
hefty 1
him 2
his 4
house 1
human 2
ics 1
in 8
include 1
incorporates 1
initially 1
injuries 1
injurieshe 1
installation 1
interest 1
into 1
invites 1
is 8
it 1
its 1
known 1
leaving 1
left 2
legs 1
limb 1
limbs 4
machine 1
major 1
man 1
meaning 1
mechanical 1
middle 1
miniature 1
mixture 1
more 2
new 2
noun 1
novel 4
of 15
office 1
one 3
operation 2
operations 1
operative 1
or 2
orders 1
original 2
oscar 1
oso 3
other 2
outfitted 1
parts 1
physical 1
physics 1
pilot 1
plate 1
poison 1
powerful 1
practice 1
price 1
propelling 1
prosthetics 1
radio 1
ram 1
rather 2
reaction 2
rebuild 1
rebuilt 1
references 1
reluctant 1
removable 1
replace 1
replaced 1
replacement 1
resentful 1
rib 1
rudy 1
same 1
science 1
secret 1
sent 1
series 1
since 1
singular 1
skull 1
smashed 1
so 1
speed 1
steel 1
steve 2
story 1
strategic 1
strength 1
study 1
subsequent 1
suffix 1
suicideand 1
tag 1
taken 1
teamed 1
television 1
than 2
that 2
the 24
this 4
time 1
title 1
to 10
transmitter 1
treating 1
two 1
used 1
uses 1
was 1
weapon 1
wells 4
when 1
which 1
who 1
with 10
work 1
working 1
writings 1
