24277384
/m/07s3l5t
/m/07s3l5t
Robert Ludlum

a 4
abilities 1
alex 1
and 2
are 1
as 1
be 1
british 1
by 1
carried 1
character 1
commissioned 1
common 1
concerns 1
deal 1
describes 1
develops 1
discovers 1
enlisted 1
eventually 1
expected 1
frle 1
geologist 1
halidon 1
hidden 1
him 1
in 4
intelligence 1
is 3
it 1
jamaica 1
jamaican 1
lead 1
leading 1
ludlum 1
mcauliff 3
more 1
mountains 1
must 1
novels 1
organisation 2
other 1
out 1
resources 1
secrecy 1
secret 3
story 2
survey 2
tested 1
than 1
the 6
there 1
to 3
too 1
undertake 1
who 1
with 1
