5357590
/m/0dh6_0
/m/0dh6_0
Robert Silverberg
1969
a 4
actual 1
afford 2
all 1
alongside 1
and 3
as 3
backup 1
be 2
become 1
body 1
book 1
builders 1
buy 1
can 6
death 1
describes 1
destruction 1
economists 1
every 1
expensive 1
expertise 1
extra 1
fashionable 1
field 1
for 1
great 1
has 1
have 1
her 1
high 1
him 1
host 2
hosts 1
if 1
in 2
individuals 1
insight 1
it 2
life 1
living 1
many 1
mark 1
minded 1
money 1
months 1
most 1
new 1
occasionally 1
of 8
on 3
once 1
or 1
other 1
overwhelm 1
people 1
person 1
personalities 5
personality 3
possess 1
possession 1
prestige 1
procedure 1
providing 1
record 1
resulting 1
scientists 1
six 1
so 1
society 1
store 1
strong 1
the 9
their 4
then 1
these 1
they 2
thinkers 1
those 1
to 2
transplanted 1
upon 1
where 1
who 1
with 2
world 1
