11376909
/m/02r9g3n
/m/02r9g3n
Kate Cary

{"/m/039vk": "Gothic fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 29
about 2
afraid 1
after 3
all 1
alone 1
also 5
always 1
an 1
and 37
appears 1
are 1
army 1
as 14
asks 2
asleep 1
at 7
attempting 1
baby 4
back 6
bag 1
bayonet 1
be 5
because 3
becomes 2
becoming 1
before 2
begin 1
begins 1
beheaded 1
being 3
believed 1
believes 1
below 1
birth 1
bloodline 1
book 2
both 1
breaks 1
british 1
brought 1
burns 1
but 3
by 8
care 1
cared 1
carfax 1
carries 1
castle 7
chair 1
chosen 1
closely 1
collection 1
comes 2
commander 1
communications 1
convincing 1
count 1
courtyard 1
cruel 1
cruelty 1
daughter 2
day 2
days 2
dead 2
death 1
delirious 1
destiny 1
destroy 1
destroyed 1
determined 1
did 1
die 2
discharged 1
do 1
does 2
doesnt 2
done 1
door 1
dr 3
dracul 1
dracula 7
during 2
each 1
eloped 1
else 1
end 1
ends 1
enemy 3
england 4
enough 1
escape 1
escapes 1
escaping 2
exit 2
fact 1
fall 1
falls 1
famous 1
father 2
fear 1
feats 2
feed 1
feeds 1
fever 3
few 1
follow 1
for 11
forever 1
found 1
from 7
front 1
full 1
garden 1
gash 1
german 1
germans 1
gets 1
go 1
goes 3
going 2
gone 2
grabs 1
grace 1
grandson 1
had 1
halfbrother 1
halfsister 1
hall 1
hallucinations 1
hand 1
harker 17
have 2
having 1
he 23
hears 2
heart 2
help 2
helps 1
helsing 1
her 6
herself 1
him 12
his 16
horrible 1
hospital 4
hound 1
house 3
however 6
i 1
if 1
impossible 3
in 12
inspecting 1
instead 1
into 1
invade 1
invites 1
involving 1
is 29
it 7
john 28
joins 1
jonathan 1
journal 1
journals 1
jumping 1
kept 1
kill 1
killed 1
kills 2
knew 1
land 2
large 1
learn 2
learns 3
leave 1
leaves 1
leaving 1
left 1
leg 1
letter 1
lid 1
life 2
lift 1
lifting 1
liked 1
lily 10
lines 1
listens 1
live 2
living 2
london 1
looks 1
love 1
loves 1
loving 1
lucid 1
main 1
make 1
man 3
marriage 1
married 1
marry 2
mary 14
master 2
meanwhile 2
men 1
mina 5
most 1
mother 4
murray 1
mysterious 1
name 1
named 2
names 1
nature 1
needed 1
nest 1
never 2
night 4
nineteenyearold 1
no 2
not 2
note 1
novel 1
nurse 1
of 20
off 1
officer 1
old 1
on 5
once 3
one 3
onto 1
or 1
orders 1
original 2
other 1
out 4
outside 1
owned 1
part 2
party 1
passes 1
place 1
plan 2
pounding 1
power 1
private 3
proposes 1
punishment 1
quincey 16
radio 1
raid 1
raids 1
raise 1
reach 1
read 1
reads 1
realizes 1
recovered 1
regiment 1
remaining 1
remembers 1
returns 2
revealed 1
rocks 1
room 1
rosemary 6
runs 1
rushed 1
same 1
sanitorium 1
saves 1
saving 1
saying 1
secret 2
seduce 1
see 2
seeing 1
seem 1
seemingly 1
seen 1
sees 1
sent 1
services 1
several 3
seward 4
sharp 2
shaw 5
she 10
shelled 1
shocked 1
shot 1
shoulder 1
shouting 1
shown 1
shows 1
sick 1
sister 2
slaying 1
smith 3
snipers 1
so 1
soldier 2
soldiers 1
some 1
somewhere 1
son 3
soon 3
stabbed 1
stabs 1
stake 1
stay 1
still 4
stone 1
stop 2
strange 1
strength 2
strong 1
sun 1
superhuman 1
surprisingly 1
taken 1
takes 3
tell 1
tells 2
tepes 4
thanks 1
that 12
the 43
their 1
then 2
there 2
they 3
things 1
thinking 1
thinks 2
this 1
thought 2
throat 1
through 2
tied 3
time 1
to 47
tools 1
transformation 1
translates 1
transylvania 2
trap 1
tree 1
trench 3
trenches 4
tries 1
turns 1
united 1
up 2
used 1
vampire 8
van 1
very 1
wagon 2
want 1
wants 1
war 2
was 7
watch 1
wedding 1
what 1
wheel 2
when 3
where 2
which 5
while 1
who 6
will 1
window 2
with 9
wooden 1
work 1
works 1
world 1
worries 1
would 2
years 1
