9640428
/m/02pmswz
/m/02pmswz
Felix Salten
1940
a 14
about 6
accidentally 1
across 1
adopt 1
adulthood 1
after 2
again 3
ago 1
all 1
an 1
and 28
animals 1
antagonizing 1
antlers 1
anytime 1
apologise 1
are 1
as 5
asks 1
at 2
attack 1
attacked 2
attention 1
aunt 1
away 2
awhile 1
back 2
bambi 8
because 1
become 1
before 1
being 2
between 2
birds 1
bit 1
blames 1
boso 9
boy 3
brought 1
brown 5
bushes 1
busy 1
but 10
by 5
came 1
can 1
care 1
chained 1
challenges 1
chases 1
children 2
coat 1
come 1
comes 4
could 1
coward 1
day 4
decides 1
defeats 1
demands 1
developing 2
did 1
disappearance 1
discover 1
do 2
does 1
dog 2
downsides 1
during 1
end 2
ending 1
enemies 1
enough 1
escape 1
escapes 1
faline 7
families 2
family 2
father 2
fawns 3
feelings 1
feud 2
fight 1
fights 1
finds 1
first 2
for 6
forest 3
forget 1
forgives 1
found 1
fox 1
friends 2
from 2
gamekeeper 1
gate 2
geno 15
gets 4
gives 1
go 1
goes 1
got 1
great 1
grow 1
gurri 8
had 2
happened 1
has 2
hate 1
have 1
he 20
hector 1
hell 1
her 8
hiding 1
him 10
his 5
home 1
how 1
hunter 1
immediately 1
in 2
injured 1
instead 2
interact 1
into 2
is 8
it 2
jump 1
jumps 1
just 1
kill 3
kills 1
known 1
lana 6
learn 1
leave 2
leaves 1
left 1
lives 1
lures 1
male 1
meets 2
membo 1
messenger 1
mostly 1
mother 4
named 1
nature 1
nello 1
new 2
next 1
not 1
notices 1
novel 1
obviously 1
of 7
offers 1
older 1
on 1
one 3
opens 1
opportunity 1
orphaned 1
others 1
out 2
over 2
owl 3
place 1
play 1
pleasures 1
post 1
preys 1
prince 1
raises 1
refuses 2
returns 1
reunited 1
right 1
rise 1
rolla 8
rumors 1
runs 2
sacrificing 1
same 1
saves 1
scolds 1
see 1
sending 1
shadow 1
she 10
shot 2
sister 1
small 1
so 1
some 1
son 1
spread 1
start 1
started 1
starts 5
survives 1
taken 1
takes 2
talk 2
teach 1
techniques 1
tell 2
tells 2
tension 1
that 6
the 31
their 9
them 7
then 11
they 4
times 2
tired 1
to 28
told 1
too 1
towards 1
tries 2
truce 1
trying 1
turns 2
twin 2
two 3
wants 1
warm 1
watches 1
wears 1
welcome 1
well 1
wellbeloved 1
what 2
when 14
where 1
while 3
with 3
wolf 1
wolfdog 3
word 1
