23479291
/m/06w950l
/m/06w950l
Barry Unsworth
2009
a 3
abrupt 1
acquiring 1
add 1
against 2
almost 1
american 2
an 10
and 5
anyone 1
arab 1
archaeologist 2
arrives 1
as 4
at 2
backdrop 1
baghdad 1
bank 2
been 1
before 1
british 1
built 1
but 1
by 1
chance 1
claims 1
coins 1
comes 1
company 1
described 1
deutsche 1
dig 2
digging 2
discovery 2
disguised 1
dramatic 1
dreams 1
empire 1
ending 1
english 1
field 1
find 1
fixer 1
for 1
from 1
geologist 1
german 2
gold 1
hand 1
hardly 1
has 2
he 2
hell 1
his 2
hoping 2
hundred 1
i 1
if 1
important 2
in 2
increases 1
is 3
it 1
john 1
journalist 2
lead 1
life 1
looming 1
love 1
major 1
make 1
meanwhile 1
mesopotamia 1
mix 1
mound 1
nearby 1
neither 1
neoassyrian 1
nor 1
not 1
of 5
oil 2
on 2
pay 1
quite 1
racing 1
railway 1
rather 1
realizes 1
richly 1
seems 1
somerville 2
stumbles 1
swiss 2
symbolic 1
that 1
the 13
time 1
to 3
urgency 1
war 1
well 1
what 1
who 3
work 1
world 1
