3698502
/m/09w0kp
/m/09w0kp
Sattar Memon
2000-04
a 5
after 1
alive 1
an 3
and 4
arrives 1
as 3
ashram 1
at 1
atop 1
baramedi 1
body 1
bowing 1
brings 1
burn 1
burning 1
but 3
climb 1
cope 1
culture 1
death 2
decided 1
dies 1
discover 1
doctor 1
dr 1
effort 1
emancipation 1
even 1
excuse 1
expected 1
fear 1
for 3
from 3
future 1
have 1
he 5
her 6
hermitage 2
him 1
himalayan 1
himself 2
himthe 1
his 4
husband 2
imagined 1
in 1
inability 1
intricately 1
is 2
jonathan 2
journey 1
keep 2
kingsley 1
known 1
landowner 1
learning 1
living 1
local 1
love 1
loveagain 1
man 1
many 1
meant 1
men 1
more 1
never 1
nicknamed 1
not 1
of 8
on 1
one 1
only 1
oppressive 1
or 1
others 1
out 2
overcoming 1
own 3
peace 1
practice 1
practices 1
provide 1
pyre 2
realizes 1
rehabilitate 1
rituals 1
safety 2
salvation 1
satan 1
save 3
searches 1
seeta 2
should 1
sought 1
spiritual 2
struggles 1
suicidal 1
suttee 1
that 1
thatunbeknownst 1
the 6
there 1
this 2
thoughts 1
through 1
tied 1
to 15
town 1
townspeople 1
traveling 1
tries 1
trying 1
unwanted 1
use 1
volunteer 1
was 1
when 2
wife 1
wishes 1
with 3
woman 2
womans 1
work 1
would 1
years 1
