27223810
/m/0bwg441
/m/0bwg441
Chuck Palahniuk


a 7
and 3
answer 1
as 4
asking 1
beauty 1
believes 1
best 1
breakfast 1
calling 1
cellmates 1
character 1
club 1
cope 1
dead 1
death 2
details 1
died 1
during 1
eternity 1
events 1
figure 1
gets 1
group 1
has 1
hell 4
her 3
how 1
idea 1
ie 1
in 4
inane 1
interactions 1
jock 1
know 1
living 2
loosely 1
maddy 3
madison 3
marijuana 1
mealtimes 1
modeled 1
nearby 1
nerd 1
novel 2
of 5
on 2
opens 1
out 1
overdose 1
piece 1
questions 1
quickly 1
rest 1
rocker 1
see 1
she 3
spencer 1
spending 1
surrounding 2
survey 1
take 1
telemarketer 1
the 12
them 1
throughout 1
to 4
together 1
tour 1
traits 1
tries 1
unsure 1
waking 1
we 1
well 1
with 3
works 1
