3269646
/m/092fq8
/m/092fq8
Jerry Pournelle
2005-02-01
2007 1
a 6
after 1
al 1
along 1
also 3
american 1
americas 1
an 2
and 5
are 4
arrange 1
aspects 1
at 1
attack 1
attacks 1
authors 1
aztec 1
aztlan 1
based 2
be 1
become 1
bird 1
birds 3
book 5
brief 1
burning 3
but 2
by 2
caravan 1
caravans 1
character 1
characters 1
city 4
coastal 1
condigeo 1
continued 1
cousin 1
crescent 2
culture 2
daughter 1
defeating 1
depicted 1
described 1
discover 1
end 1
escaped 1
et 1
exist 1
explained 1
family 1
fights 1
flightless 1
for 2
from 1
has 1
he 1
highmagic 1
him 1
himself 1
his 2
humans 1
in 3
incompetent 1
is 6
joined 1
large 1
linked 1
long 1
lord 3
lords 1
main 2
many 1
mcfadden 1
mentioned 1
north 1
note 1
oarsman 1
of 10
off 1
on 4
part 1
phorusrhacid 1
previous 1
redeems 1
regapisk 4
research 1
researched 1
romantically 1
sandry 4
see 1
sent 1
shanghaied 1
ship 2
source 1
southern 1
spread 1
tep 1
terror 2
that 2
the 22
them 2
then 1
they 2
this 2
three 2
through 1
throughout 1
timeline 1
titanis 1
to 7
tower 3
town 1
trading 1
travel 2
until 1
walleri 1
way 1
whandall 1
where 1
which 1
who 1
with 1
within 1
