599316
/m/02v2tc
/m/02v2tc
John Varley
1979
2025 1
600nbspkm 1
a 15
abilities 1
ability 1
aboard 1
above 1
accepts 1
addict 1
after 1
against 2
age 1
aged 1
agent 1
aided 1
air 1
altered 1
an 4
and 20
angel 1
angels 3
april 3
are 2
around 2
as 4
astronomer 1
at 1
august 1
back 1
based 1
be 3
bear 1
because 1
becomes 1
been 2
before 1
behavior 1
beings 1
between 1
bill 1
birdlike 1
blimp 4
brings 1
but 1
by 3
cables 2
called 1
calvin 4
can 4
captured 1
career 1
centaurlike 1
center 1
centrifugal 1
change 1
chase 1
cirocco 8
cirroco 1
climb 1
climbing 1
clone 1
commanding 1
companion 1
companions 2
condition 1
consist 1
controlling 1
creatures 1
crew 4
cuts 1
dead 1
decide 1
decides 1
declare 1
destroys 1
discover 1
discovers 1
do 1
during 1
each 2
ear 1
earth 1
encounter 1
engineer 1
entangled 1
erratic 1
especially 1
eugene 1
eventually 1
except 1
exchange 1
expedition 1
explains 1
face 1
fact 1
fight 1
finally 1
find 5
finds 1
for 2
force 1
forever 1
from 4
frumpy 1
gaby 8
gaea 5
gasbag 1
gene 2
get 1
given 1
gives 1
going 1
golden 1
great 2
greene 1
habitat 3
had 1
happy 1
hardly 1
has 3
hatchet 1
have 2
having 1
he 6
helps 1
her 4
herself 1
high 1
him 1
his 4
hollow 1
hollywood 1
hub 2
huge 1
human 2
humanity 1
humanoid 1
humans 1
impulse 2
in 10
increasingly 1
inevitably 1
initially 1
inside 4
intelligence 1
intelligences 2
intelligent 1
into 1
is 13
it 3
its 2
jones 1
journey 1
keep 1
killed 1
kilometer 1
know 1
language 2
last 1
later 1
learn 1
leave 1
life 1
like 1
live 1
lives 1
living 1
long 2
maintain 1
makes 1
many 1
members 1
middle 1
months 1
movie 1
movies 2
music 1
must 1
name 2
nasa 1
nature 1
near 2
never 1
not 2
object 1
obsessed 1
occurs 1
of 14
off 1
offer 1
old 1
on 2
one 3
only 1
orbit 1
other 4
out 1
passes 1
permanently 1
perpetual 1
personality 1
physician 1
physicists 1
pilot 1
place 1
placed 1
planet 2
plauget 1
polo 1
practice 1
presents 1
progresses 1
rapes 2
reach 1
reaching 1
realize 1
realizing 1
rebelled 1
regional 2
remaining 1
rendered 1
report 1
rescued 1
responses 1
rest 1
result 1
rid 1
rim 2
ringmaster 2
satellite 2
saturn 1
scientific 1
seen 1
separated 1
she 6
ship 3
signals 1
solitary 1
some 1
speak 3
spokes 1
springfield 1
stanford 1
state 1
stop 1
story 1
strange 2
structure 1
support 1
swim 1
tall 1
television 1
terms 1
that 9
the 49
their 1
them 6
then 1
there 2
these 1
they 11
thinks 1
this 2
through 1
titanideangel 1
titanides 4
to 13
together 1
torus 4
transformed 1
travel 1
twin 1
ultimately 1
unable 1
unconscious 1
understand 1
unusual 1
up 2
using 1
very 1
wake 1
war 6
was 2
watching 1
way 1
wheel 2
when 1
where 1
which 1
while 1
whistles 1
whistlestop 1
who 3
whose 1
why 1
will 1
with 4
wizard 1
woman 2
world 1
would 1
