6452561
/m/0g5xng
/m/0g5xng
Anthony Trollope
1879-10
{"/m/02xlf": "Fiction"}
4000 1
a 11
about 2
abuse 1
accident 1
according 1
accounts 1
accuses 1
action 1
affair 1
after 1
again 1
against 1
age 1
aged 1
already 1
amount 1
and 13
anyone 1
apjohn 3
approaches 1
are 2
articles 1
as 4
at 1
away 1
be 5
because 1
been 1
before 1
begins 1
being 1
beliefs 1
bequeathed 2
between 2
blood 1
book 1
box 1
brodrick 2
burn 1
but 2
by 6
can 1
cannot 3
carmarthen 1
changes 1
clerk 1
clever 1
comforts 1
court 1
cousin 1
crime 1
cross 1
damnation 1
debts 1
despite 2
destroy 1
destroying 1
detestable 1
did 1
dies 1
dilemma 1
disgrace 1
disrespect 1
document 3
doing 1
dragged 1
dread 1
editor 1
efforts 1
eighty 1
either 1
endeared 1
endures 1
enough 2
estate 5
eternal 1
ever 1
everybody 1
everyone 2
evil 1
examined 1
extant 1
father 2
favour 1
fearing 1
fills 1
final 1
find 1
finding 1
finds 2
for 1
found 1
from 3
generally 1
gets 1
give 1
good 2
guilty 1
had 3
has 2
he 10
heir 2
henry 13
her 3
herself 1
hidden 2
him 6
himself 2
his 16
home 1
hours 1
house 1
however 2
idea 1
impression 1
in 9
incurred 1
indefer 3
ineffectual 1
inherits 1
instead 1
insulting 1
intact 1
intention 1
into 1
invited 1
is 9
isabel 6
it 1
its 1
jail 1
job 1
jones 4
just 1
keeping 1
knows 3
large 1
last 1
lawyer 1
least 1
legal 1
lets 1
libelous 1
library 1
lived 1
llanfeare 2
local 1
location 1
london 2
long 1
made 1
make 1
makes 1
male 2
man 1
manner 1
manor 1
marrying 1
more 1
mr 4
neither 1
nephew 2
nevertheless 1
new 1
newspaper 1
niece 1
nor 1
not 2
nothing 1
occasional 1
of 11
off 1
old 1
on 2
once 1
one 1
only 2
or 1
other 1
out 2
overcomes 1
own 1
oxford 1
paid 1
past 1
pay 1
permitted 1
poor 1
prejudice 1
pressuring 1
procrastinates 1
prospect 1
publish 1
questioning 1
quit 1
realises 1
reasoning 1
rejects 1
relative 1
remarriage 1
reputation 1
respects 1
result 1
return 1
revealing 1
running 1
search 1
seemingly 1
sent 1
sentence 1
sermons 1
servants 1
seventy 1
she 2
should 1
silent 1
since 1
sole 1
solve 1
spending 1
squire 4
stand 1
stop 1
strengthened 1
strong 1
suggestion 1
suspecting 1
suspicions 1
takes 1
taking 1
tell 1
tenants 1
than 1
that 7
the 32
them 1
things 1
this 1
thorough 1
time 2
to 16
told 1
traditional 1
treat 1
truth 1
two 1
uncle 2
unfortunately 1
unwilling 1
up 1
usurping 1
vacillates 1
visit 2
visits 1
wales 1
was 1
where 2
whom 1
will 8
with 4
witness 1
witnessed 1
worse 1
would 1
years 2
young 1
