22487426
/m/05zw0yj
/m/05zw0yj
Jeff Lindsay

{"/m/0lsxr": "Crime Fiction"}
a 26
abandoned 1
about 1
acosta 7
admits 1
adore 1
after 4
afterward 1
again 1
alana 5
aldovar 1
already 1
also 2
amusement 1
an 2
and 42
anne 1
another 2
any 1
apart 1
apparently 1
approach 1
approaches 2
are 7
arrest 2
arrests 1
arrive 3
artificial 1
as 5
astor 1
at 8
attends 1
avoid 1
away 1
be 6
because 2
become 1
before 1
befriended 1
begin 2
begins 1
being 1
believes 1
best 1
better 1
bin 1
birth 3
blood 3
bobby 9
bones 1
book 2
both 2
boyfriend 1
break 1
brian 3
bringing 1
brother 1
brought 1
but 4
by 5
call 1
called 2
can 3
cannibal 1
cannibals 3
cant 1
car 1
care 1
caught 1
changes 2
chapin 3
check 1
child 1
chip 1
chop 1
chutsky 6
city 1
claim 1
club 5
cody 1
compulsion 1
considered 1
contacts 1
cook 2
cooked 1
cooking 1
coven 1
crime 2
cuts 1
cutting 1
dark 2
darkly 1
daughter 4
day 2
deb 16
decides 2
deciding 1
defender 1
deke 2
dentists 1
design 1
desires 1
despite 2
detectives 1
dex 6
dexter 27
died 1
disappearance 1
discovers 2
dismay 1
divulge 1
dna 1
do 2
does 2
down 2
dreaming 1
drinking 1
dying 1
earlier 1
eat 1
eaten 3
eating 1
ecstasy 1
emotions 2
end 2
ends 1
euphoric 1
even 2
eventually 3
everglades 1
everyone 1
except 1
failed 1
faking 1
family 1
fang 2
fangs 2
fantasy 1
father 3
fbi 1
feel 1
feeling 1
feels 1
felony 1
fetish 1
few 2
fight 1
filed 1
finding 1
finds 2
first 2
fit 1
follow 1
for 8
force 1
forced 1
found 2
freedom 1
friend 1
friends 1
from 7
fury 1
genuine 1
get 3
girl 2
give 1
gnawed 1
go 1
got 1
goth 1
guards 2
guns 1
had 2
haitian 1
has 5
have 1
having 1
he 10
helps 1
her 9
hers 1
him 8
himself 2
his 13
hobby 1
home 1
honor 1
hospital 1
in 13
indicate 1
influence 1
information 1
ingratiates 1
inside 1
interviews 1
into 1
irate 2
is 14
issues 1
it 3
joe 2
jug 1
jurisdictional 1
just 1
kidnapping 1
kill 1
killed 2
kills 1
known 1
laced 1
large 3
last 1
leader 1
leave 1
leaves 1
leaving 4
left 1
let 2
like 2
likely 1
lily 1
local 1
locks 1
loose 1
love 1
makes 1
man 2
manager 3
match 1
matches 1
mdma 1
mean 1
men 1
miami 2
middle 1
migrants 1
missing 3
money 1
months 1
morgan 2
much 1
multiple 1
nearby 1
nearly 1
next 1
nightclub 1
nine 1
normal 1
not 2
now 2
number 1
obnoxious 1
of 21
off 2
offered 1
official 1
on 3
one 3
only 2
order 2
other 1
out 1
over 1
overprotective 1
owns 1
parents 1
park 2
part 1
partially 1
partner 1
passenger 1
pd 1
people 2
pieces 1
place 1
placed 1
planted 1
playmate 1
potential 1
pregnant 1
preparing 1
previously 1
preyed 1
prime 1
principal 2
prior 1
prison 1
private 1
privately 1
prosecutions 1
public 1
quantity 1
question 1
quickly 1
raped 1
rapidly 1
rather 1
receives 2
recognizing 1
recovered 1
refrigerator 1
refuses 1
release 1
reluctant 1
reluctantly 1
remains 1
remarkable 1
remembers 1
request 1
rescue 1
rescued 2
resolves 1
revealed 2
reveals 3
revenge 1
right 1
rita 1
ruining 1
rummaging 1
run 1
runs 1
samantha 14
same 1
savior 1
saw 2
say 1
scene 2
school 2
search 1
searching 2
service 1
sex 1
shared 1
she 5
shirt 1
shop 1
shortly 2
shows 1
since 1
sister 3
so 1
sodden 1
someone 1
something 1
son 2
soon 2
spanos 3
stalks 1
stand 1
start 1
started 1
stepmother 1
stillconscious 1
subsequent 1
such 1
surprise 1
suspect 1
swear 2
take 1
taken 4
talk 1
teeth 1
tells 1
tests 1
than 1
thanks 1
that 20
the 42
their 3
them 2
then 2
there 1
they 5
things 1
thinlyveiled 1
this 1
though 2
threat 1
three 1
through 1
thrown 1
time 2
times 1
to 31
tracer 1
trailer 1
trash 1
trophy 1
turn 2
two 2
tyler 5
type 1
under 1
until 1
up 2
upon 2
urge 1
uses 1
vanished 1
vanishing 1
vans 1
victim 1
victor 1
volunteered 1
vows 1
wait 1
waiting 1
waking 1
was 2
watch 1
water 3
way 2
wealthy 1
weeks 1
well 1
were 1
when 4
where 2
while 3
who 9
whom 1
whose 1
wife 1
wild 1
will 3
with 9
working 3
worse 1
wounds 1
young 2
