933335
/m/03r8yl
/m/03r8yl
Rohinton Mistry
1995
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
147 1
a 46
able 2
abusive 1
acquire 1
activists 1
after 10
again 2
against 1
age 1
agrees 1
airconditioning 1
all 5
almost 1
alone 1
along 1
also 6
amputated 1
an 5
and 80
angry 1
anniversary 1
any 1
apartment 1
appear 1
apprentices 1
approaches 1
are 15
around 1
arrange 1
as 8
ashraf 6
ask 1
assassination 1
at 6
attempt 1
attends 1
au 2
avinash 6
avoid 1
away 1
back 1
backgrounds 1
backup 1
ballot 1
be 6
bear 1
beaten 1
beautification 1
became 3
because 4
become 2
becomes 2
been 2
before 1
beg 1
beggar 1
beggarmaster 3
beggars 3
beginning 1
being 3
betrayed 1
better 1
bicycle 1
boarder 1
boarding 1
book 3
born 1
bother 1
break 2
bribe 1
bring 1
brother 3
brought 1
building 1
bus 1
business 4
but 9
buy 1
by 13
called 3
camp 2
cannot 1
care 1
case 1
caste 3
castrated 1
castration 1
centre 3
certificate 2
chacha 5
chamaar 1
changed 1
changes 1
changing 1
characters 2
charge 1
cheap 1
chemist 2
chess 1
childhood 1
city 2
cleaning 1
clothing 1
coerced 1
coincidentally 1
cola 1
college 6
come 1
comes 1
commercial 1
commits 1
company 1
compete 1
completed 1
complicated 1
concert 1
conditions 1
considered 1
control 1
cooking 1
critical 1
cupboard 1
cured 1
dalal 4
daughters 1
day 1
days 1
death 1
deceased 1
decides 5
declared 1
degree 1
deteriorates 1
dharamsi 3
did 1
died 4
dies 1
different 1
dina 28
direction 1
directly 1
disabled 1
discuss 1
dismay 1
disrespect 1
distant 1
diverse 1
do 1
doctor 2
does 1
doesnt 1
dont 2
down 1
dowries 1
dresses 2
drink 1
drop 1
drove 1
dubai 2
due 2
each 2
eastern 1
economic 1
education 1
effects 1
eight 1
eighteen 1
elder 1
elderly 1
embroidery 1
emergency 3
empty 1
encounters 1
escape 2
escapes 1
events 1
eventually 1
evicted 1
exports 1
exposes 1
express 1
eye 2
eyesight 2
failing 1
fairly 2
family 8
father 10
feels 1
fell 1
fellow 1
fill 1
filth 1
find 3
finds 1
finished 1
first 3
flat 7
follows 1
for 23
forced 5
forces 1
forcing 1
former 1
found 1
fourth 1
friendly 1
friends 3
friendship 1
from 18
