20584552
/m/051wrfw
/m/051wrfw
Alane Ferguson

a 1
and 1
as 2
assistant 1
attends 1
bargained 1
be 1
being 1
but 1
cammie 2
careful 1
case 1
christopher 1
convinces 1
dad 1
dealing 1
enough 1
experience 1
finally 1
for 2
forensics 1
friendthe 1
get 1
give 1
handson 1
her 3
his 1
if 2
in 2
is 3
isnt 1
job 1
killer 2
knew 1
known 1
latest 1
might 1
more 1
next 1
not 1
of 2
out 1
realizes 1
second 1
serial 1
she 7
so 1
some 1
someone 1
soon 1
than 1
that 3
the 4
thrilled 1
to 3
turns 1
up 1
victim 2
when 2
wind 1
with 1
