9075044
/m/027wr5m
/m/027wr5m
James Gunn
1996-05-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 2
aids 1
alive 1
and 3
are 2
as 1
ashes 1
barris 2
be 1
before 1
brutalized 1
bulldozed 1
camp 1
campaign 1
camps 4
carrying 1
conditions 1
cremated 1
cure 1
cycle 1
death 1
desert 2
disease 1
escapes 1
establishes 1
evidence 1
expose 1
finds 1
for 1
gathered 1
governmental 1
he 2
his 1
horrific 1
immolation 1
in 2
infected 2
into 1
learns 1
masquerades 1
michael 1
misinformation 1
more 1
needs 1
of 3
one 1
out 1
producer 1
purposefully 1
quarantine 2
sand 1
search 1
socalled 1
son 2
southwest 1
than 1
that 1
the 12
their 1
to 3
travels 1
turns 1
tv 1
ultimately 1
us 1
virulent 1
when 1
where 1
