4212929
/m/0bq8cy
/m/0bq8cy
Bill O'Reilly

{"/m/0lsxr": "Crime Fiction"}
a 10
advised 1
after 2
agony 1
although 1
and 9
antagonist 1
are 1
argentina 1
aristocrat 1
as 2
ashley 1
association 1
attempts 1
back 1
balcony 1
be 1
beach 1
blond 1
break 1
buren 2
burn 1
burying 1
by 6
car 3
career 1
causing 1
celtic 1
charged 1
chunk 1
city 1
columnist 1
committed 1
competing 1
consultant 1
contacts 1
convention 1
correspondent 1
crime 1
crossing 1
crushes 1
cut 1
described 1
detective 1
dies 1
directors 1
dismiss 1
drown 1
during 1
exhaust 1
explodes 1
extreme 1
eyes 1
finally 1
first 1
flip 1
for 1
forced 1
from 2
front 1
global 1
got 1
had 1
has 1
have 1
he 6
head 1
heart 1
her 1
hide 1
him 4
his 9
homicide 1
identity 1
in 6
into 2
irishamerican 1
is 6
it 1
jet 3
journalist 1
letting 1
local 1
lose 1
makes 1
manager 1
meanwhile 1
melted 1
michaels 6
murders 3
named 2
neck 1
network 3
new 1
news 3
nononsense 1
of 6
off 1
omalley 3
oreilly 1
out 1
over 1
parents 1
people 1
product 1
protagonist 1
pursued 1
pushed 1
radio 1
research 1
resignation 1
reviewers 1
right 1
ruined 1
runway 1
said 1
sand 1
sexy 1
shannon 1
slits 1
slowly 1
solving 1
some 1
speeding 1
spin 1
stalks 1
station 2
stole 1
story 1
straighttalking 1
subsequently 1
systematically 1
tall 1
television 3
that 3
the 18
them 1
then 1
thinly 1
this 1
throat 1
throws 1
tire 1
to 5
tommy 1
trouble 1
turned 1
two 1
up 1
used 1
van 2
veiled 1
versions 1
victim 1
where 1
which 1
while 1
who 5
wing 1
with 3
woman 1
york 1
