15924713
/m/03qgz8q
/m/03qgz8q
Jim Butcher
2008-10-31
4 1
a 21
abandoned 1
able 1
about 5
across 1
actually 1
advantage 1
after 4
aftermath 1
again 1
ahead 1
aka 1
alive 1
all 2
alone 1
also 1
altar 1
am 1
ambush 1
an 3
and 21
any 1
anyone 1
apartment 1
appearance 1
are 2
around 1
arrest 1
as 4
asks 1
at 3
attack 1
aura 1
awakened 1
awareness 3
backpack 1
backup 1
bargain 1
be 2
became 1
because 1
been 1
before 2
being 1
belief 1
believing 1
blast 1
bloodthirsty 1
blows 1
bob 9
book 1
bound 2
boy 1
breakfast 1
breaks 1
bring 1
bursts 1
but 7
buy 1
by 7
can 6
cannot 2
careless 1
case 1
cast 2
casts 1
cause 1
certain 1
chance 1
change 1
check 1
chicago 1
child 3
cleansing 1
clever 1
client 4
clients 1
combatants 1
commiserates 1
consult 1
control 1
cost 1
could 6
council 3
courier 3
court 1
cultist 2
dagger 1
damage 1
danger 2
dark 1
darkness 1
dealt 1
death 1
decides 1
deeply 1
deity 2
demongoddesses 1
demons 3
didnt 1
die 1
different 1
diffused 1
discovers 1
disguised 1
dissemination 1
dithering 1
diversion 1
divulge 1
do 1
doesnt 1
door 1
dresden 28
dresdens 4
dupe 1
during 1
duties 1
easily 1
eat 1
either 1
else 1
endanger 1
energy 1
escapes 1
events 1
everything 1
existence 2
facing 1
factions 2
fatal 1
fatally 1
feed 1
feeding 1
feeds 3
find 2
finds 3
first 1
for 4
force 1
from 2
gains 1
get 1
ghouls 4
give 3
gives 1
glamor 1
gods 3
goes 3
greater 1
grimoire 5
guarded 1
hair 1
halfbrother 2
harm 1
harry 2
has 6
have 3
he 13
head 1
help 6
helps 1
her 3
him 12
himself 1
hinder 1
his 17
hits 1
holding 1
home 1
honor 1
hoping 1
hotel 1
how 1
human 2
hunger 5
identities 1
identity 1
if 5
illusion 6
in 15
incident 1
instead 1
intel 1
into 4
involvement 1
is 11
it 4
its 3
jumps 1
just 2
justine 2
kidnapped 1
kidnapper 1
kidnapping 1
kill 4
killing 2
kills 2
know 2
knowledge 3
ladies 1
lara 2
latest 1
leave 1
leaves 1
level 1
lexicon 3
life 4
lightly 1
lights 1
like 2
little 1
locate 1
locates 1
long 1
look 1
looks 1
lunch 1
makes 2
making 1
malos 1
many 1
marion 1
mass 1
meet 2
melts 1
member 1
message 1
messed 1
michelle 2
michelles 1
millennium 1
mistake 1
more 2
mortal 1
motivations 1
move 1
must 2
near 1
necronomicon 1
never 2
night 2
not 1
nourishment 1
obliterate 1
oblivion 4
obtains 1
of 16
offers 1
office 1
old 5
on 4
one 4
ones 1
only 3
or 2
out 4
over 1
overcome 1
own 1
parents 2
park 1
part 1
past 1
pavilion 1
payback 1
paying 1
people 1
perilous 1
person 1
phase 1
plane 1
plot 1
point 1
poison 1
poisoned 1
poisoning 1
police 1
poses 1
power 2
prior 1
publication 1
publish 1
publishing 1
puts 1
raise 1
raith 1
ran 1
real 3
realizes 1
reason 1
reckless 1
reconsider 1
reenter 1
refuses 1
relates 2
removed 1
rescued 1
restore 1
restraint 1
return 1
reveal 1
revealing 1
rises 1
rituals 2
river 1
role 1
room 2
salon 2
save 2
see 1
sense 1
set 1
shadows 1
shampoo 1
she 6
sheer 1
shower 1
sisterhood 1
skipped 1
slashes 1
some 2
speculates 1
spell 2
staked 1
stalks 1
stygian 17
stygians 3
summoning 1
sun 1
surprised 1
taken 1
takes 1
talk 1
tell 3
tells 1
terrible 1
that 9
the 100
their 2
then 1
these 1
they 1
thing 1
this 5
thomas 42
threatens 1
through 1
tied 1
time 1
to 30
took 1
tow 1
town 1
track 1
tracking 1
tries 1
true 2
truth 1
two 1
unappreciated 1
until 1
up 1
upon 1
use 1
used 1
uses 1
using 2
vampire 1
venator 1
venatori 2
very 1
visits 1
want 1
wants 1
war 3
warden 1
warehouse 3
was 1
way 1
weaken 1
weakened 1
when 2
where 1
which 1
while 2
white 3
who 2
whole 1
will 11
win 1
with 8
without 2
word 1
working 1
world 2
would 5
younger 1
