10632015
/m/02qkqn2
/m/02qkqn2
Nevil Shute
1926
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
128 1
132 1
a 5
after 1
also 1
an 1
and 3
as 1
baron 1
been 1
boat 1
breaking 1
by 2
character 2
characteristic 1
commercial 1
comparatively 1
compton 1
convict 1
crashes 1
crops 1
denis 1
disdained 1
drug 1
drugs 1
during 1
embezzlement 1
engine 1
england 1
episodes 1
escaped 1
fails 1
first 2
flying 1
for 1
framed 1
halfbrother 1
have 1
he 1
his 2
how 1
in 3
into 1
involves 1
is 3
it 1
italian 1
key 1
lonely 1
love 1
major 1
mattani 1
minor 1
morris 1
next 1
novel 1
novels 1
of 1
out 1
philip 1
pilot 1
plays 1
rescued 1
ring 1
road 1
rodrigo 1
role 1
sailing 1
shute 3
small 1
smuggling 1
so 1
stenning 4
stephen 1
story 2
tells 1
that 1
the 2
to 1
trained 1
turns 1
two 1
unpublished 1
up 1
war 1
was 1
who 2
world 1
