15565525
/m/03mf8tt
/m/03mf8tt
Augusto Roa Bastos
1974
{"/m/0hwxm": "Historical novel"}
130s 1
1840 1
34edge 1
34final 1
34memorypen34 1
34nailed 1
34partially 1
34suppose 1
34the 3
34you 1
a 14
abandoned 1
accounts 1
across 1
afterwards 1
again 1
against 1
all 2
also 1
am 1
american 1
an 5
and 23
another 1
apparently 3
appears 1
arbitrariness 1
are 5
argentines 1
as 10
asserts 1
asuncin 1
at 3
attention 1
author 1
autonomous 1
aware 1
bastos 1
be 5
becomes 1
been 1
beheaded 1
bells 1
between 2
bizarre 1
blur 1
book 6
brazilians 1
breadth 1
broken 1
burned 1
burned34 1
but 3
by 7
camp 1
capital 1
castro 1
casts 1
cathedral34 1
caught 1
center 1
chaco 1
chained 1
characters 1
chronology 1
comments 1
compilation 1
compiler 2
compiler3s 1
condemning 2
continues 1
corpse 1
could 1
country3s 1
critic 1
damaged 1
date 1
days 1
de 1
death 4
debating 1
declaration 2
describe 1
designed 1
desk 1
detection 1
developments 1
dictator 3
digressions 1
discuss 2
discusses 1
discussion 1
disintegrate 1
does 2
door 1
doubt 1
down 1
dr 1
effacing 1
effect 1
elsewhere 1
end 1
ends 1
even 1
events 2
exploring 1
extraordinary 1
fact 3
fallible 1
fend 1
few 1
fiction 1
fictitious 1
fidel 1
files34 1
final 1
fire 1
folio 1
followed 2
following 1
font 1
footnotes 1
for 2
forged 1
forgery 3
forgotten 1
fought 1
found 2
foundation 1
francia 1
francia3s 3
full 1
gap 1
genre 1
had 1
handwriting 2
happen 1
have 1
he 2
head 1
heralding 1
here 1
him 2
himself 1
his 3
histories 1
history 1
hopelessly 1
however 1
i 2
illegible 1
illegible34 1
images 1
imitation 1
immediately 1
implicitly 1
impossible 1
in 13
incomplete 1
incorporates 1
increasingly 2
indeed 1
independence 1
inhabitants 1
insistent 1
interpolation 1
interpolations 1
introduction 1
is 17
it 10
its 2
itself 1
john 1
king 1
la 1
language 1
last 1
latest 1
latin 1
less 1
letters 1
life 1
like 1
line 3
linear 2
lines 1
linguistic 1
literary 1
logic 1
long 1
look 1
made 1
marginal 1
materiality 1
meaning 1
mentions 1
meteor 1
more 2
moreover 2
my 3
myself 1
mysterious 1
narrative 4
nascent 1
no 1
not 2
note34 1
notes 2
novel 6
now 1
occasion 1
of 29
off 1
official 2
often 1
on 6
once 1
one 1
only 2
opens 1
or 2
order 2
original 1
out 1
own 2
paper 1
paraguay 1
paraguay3s 2
particularly 1
pasquinade 2
pasquinades34 1
pass 1
past 1
patio 3
peal 1
pen 1
people 1
perpetrator 1
pike 1
placed 1
plaza 1
plot 1
plotting 1
point 1
policarpo 1
possession 1
possible 1
practice 1
presumption 1
prison 1
promising 1
pronouncement 1
provenance 1
purports 1
quite 1
ranges 1
rather 1
reader 1
reader34 1
readers 2
reading 1
reality 1
reflects 1
remainder 1
remind 1
repblica 1
reproduces 1
republic 1
rereads 1
responsibility 1
rest 2
revealed 1
roa 1
ruminates 1
same 1
scattered34 1
secretary 2
seemingly 1
seems 1
sentence 1
series 1
set 2
so 2
soon 1
sounding 1
spaniards 1
start 2
starts 1
stone 1
stroessner 1
strokes 1
stuck 1
subverted 1
such 3
suggests 1
summarize 1
summoned 1
supposedly 1
supreme 5
talks 1
task 1
tear 1
tevego 1
that 17
the 66
them34 1
then 1
theory 1
these 1
they 1
thick 1
this 6
threatened 1
three 1
title 1
to 17
today 1
together 1
topics 1
tracking 1
transparency 1
travelers 1
turned 1
turns 1
unable 1
uncovering 1
undone 1
unravel 1
unreliability 1
up 1
upon 1
used 1
various 1
very 1
voice 1
war 1
well 1
what 1
when 1
which 3
whole 1
whom 1
whose 1
will 1
with 5
word 1
words 3
wormeaten 1
writer 1
writes 2
yet 1
