13220001
/m/03bz8z0
/m/03bz8z0
Margaret Wise Brown
1953
{"/m/0dwly": "Children's literature"}
a 11
after 3
all 2
an 1
and 6
are 1
arriving 1
at 2
away 1
back 2
balancing 1
be 1
being 1
big 1
boat 3
but 1
calls 1
canine 1
clothes 1
colorful 1
colors 1
covered 1
deep 1
different 1
dog 2
dogs 1
dressed 1
driftwood 1
eventually 1
everything 1
eyes 1
for 3
foreign 1
from 1
fulllength 1
gaffrigged 1
gear 1
gets 1
green 1
hardly 1
has 2
hat 1
hats 1
he 5
heads 1
his 8
hook 3
house 1
in 3
irresistible 1
is 2
it 1
its 2
jars 1
kasbah 1
keeps 1
lady 1
land 1
life 1
little 1
looks 1
luxurious 1
makes 1
neat 1
needs 1
new 1
not 1
of 2
on 3
out 1
patches 1
paws 1
place 1
repairs 1
resourceful 1
right 1
robes 1
rope 1
sail 1
sailing 2
sailor 1
sails 2
scene 1
scuppers 6
sea 3
seaport 1
seaworthy 1
shapes 1
ship 1
shipshape 1
shipwrecked 1
shoes 1
soon 2
spyglass 1
storm 1
stowing 1
straight 1
street 1
tails 1
the 4
their 2
there 1
though 1
to 3
travels 1
tries 1
unfortunately 1
urge 1
various 1
wants 1
where 1
with 2
