564305
/m/02qhmk
/m/02qhmk
Spider Robinson

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
able 1
about 1
activity 1
actually 1
agros 1
allegedly 1
alone 1
also 1
and 9
another 1
antitechnology 1
any 1
apparently 1
approach 1
are 1
as 1
at 2
atmosphere 1
attack 1
attacked 1
back 1
be 2
been 1
before 1
beings 1
between 1
bring 2
brought 1
but 1
by 6
can 1
captured 1
carlson 4
caused 1
charge 1
city 1
civilization 2
collaci 1
colony 2
columbia 1
continues 1
current 1
currently 1
curtailment 1
dead 1
destruction 1
developing 1
discovery 1
earth 1
ends 1
eventually 1
face 1
factions 1
father 4
fear 1
feed 2
for 3
former 1
from 2
has 2
he 3
heightened 1
him 1
his 5
home 1
however 1
human 3
humanity 1
humans 1
hundred 1
hyperosmic 1
in 3
increases 1
insanity 1
intelligent 1
is 7
isham 8
its 1
jacob 2
kill 2
learns 2
live 1
living 1
locating 1
madman 1
man 2
manages 1
many 1
mass 1
mdash 3
measure 1
mission 1
murder 1
muskys 1
name 1
named 1
neoluddites 1
new 4
newly 1
not 1
novel 2
novella 1
odors 1
of 10
old 1
on 3
original 1
other 1
out 3
own 1
pan 1
peace 1
plague 2
planet 1
plasmoids 1
point 1
pollutants 1
pollutionproducing 1
prisoner 1
produced 1
protagonist 1
rebuild 1
reconciled 1
releasing 2
responsible 2
result 2
returns 2
rioting 1
scientist 2
scientists 1
sense 1
senses 1
sensitivity 1
set 1
sets 3
smell 2
species 1
state 1
stone 2
succeeds 1
successfully 1
surface 1
taken 1
teacher 1
technological 1
technology 1
that 5
the 20
their 2
them 1
then 1
they 1
this 1
thus 1
times 1
to 13
told 1
tolerate 1
trap 1
tried 1
unable 1
university 1
upper 1
used 1
virus 1
was 2
wendell 1
were 1
what 1
who 1
whose 1
widespread 1
with 1
world 1
worshippers 1
york 4
