6899929
/m/0gw4s6
/m/0gw4s6
Carolyn Keene
1951
a 15
able 2
about 3
advice 1
after 3
allow 1
alone 1
amongst 1
an 2
and 29
anderson 7
another 1
any 1
are 1
arrived 2
ask 1
asked 4
asks 1
assignment 1
at 1
baltimore 2
be 1
because 1
before 2
belongs 1
bess 1
black 5
borrow 1
bottom 1
breed 2
bring 1
broke 1
brother 1
burglar 1
burned 1
but 6
called 1
came 1
can 1
cant 1
captain 2
captured 1
carson 2
carved 1
case 1
caswell 1
cipher 4
clue 2
college 1
concluded 1
contact 1
conversation 1
couldnt 1
cousin 1
daughter 1
day 2
decided 1
decides 1
decipher 1
detective 1
diary 2
disappeared 2
discovered 1
doctor 1
documents 1
doesnt 3
doubts 1
dr 20
drew 4
drews 2
drive 1
during 2
educational 1
emerson 1
evil 1
expedition 3
falcon 3
father 1
find 6
finding 1
fisherman 1
fled 1
florida 8
follow 2
for 7
found 4
four 1
fran 4
fraternity 1
free 1
from 3
gave 1
george 2
get 1
go 3
got 1
graham 2
grandfather 2
guess 1
had 2
half 1
halfkey 4
happen 1
happened 1
harm 1
has 1
have 1
he 8
hed 1
heights 2
help 2
helped 2
her 8
hidden 2
him 5
his 4
history 1
home 1
hotel 1
house 4
hut 1
identify 1
if 1
important 1
imprisoned 2
in 10
intent 1
into 1
introduces 1
island 1
it 2
jack 3
join 1
joins 1
joshua 2
juarez 5
jungle 1
keys 8
knows 1
leave 1
leaving 1
lecture 2
letter 3
letters 1
lillian 1
line 1
littleknown 1
look 1
looking 1
lost 1
loves 1
lured 1
malloy 1
meet 1
members 2
mentions 1
mexico 7
might 1
more 1
mr 5
mrs 6
must 1
mystery 1
nancy 24
ned 1
nefarious 1
next 1
nickerson 1
night 1
no 1
not 2
oakes 2
of 9
old 1
on 1
one 2
only 2
other 1
out 1
overhear 1
p 1
pages 1
parker 1
part 1
pitt 12
place 1
plan 1
planning 1
police 2
porterly 1
porterlys 3
porters 1
prescott 1
price 1
prof 2
professors 1
purposewhen 1
received 1
referred 1
region 1
related 1
relative 1
remaining 1
rescue 1
rest 1
return 1
reveal 2
river 2
room 1
said 1
saw 1
say 1
says 1
scott 4
sea 2
searched 1
searching 1
see 1
sent 1
sergeant 1
she 4
so 3
some 1
someone 2
something 1
special 1
speedboat 1
stayed 1
steal 1
stole 1
stone 2
studied 1
stuepeds 1
suggests 2
sunk 1
suspected 1
tablet 2
take 1
talked 1
teammates 1
telephone 1
telephoned 1
tell 2
tells 1
terence 1
terry 15
that 13
the 50
their 6
them 5
there 2
they 15
thief 2
thieves 1
things 2
those 1
thought 2
three 1
time 2
tino 4
tinos 1
to 43
together 3
told 2
trail 1
translate 1
treasure 4
tried 2
trip 1
trust 1
two 1
unburned 1
until 2
vanished 1
villain 1
wagnell 4
wagnells 3
walker 1
want 1
was 3
went 7
were 4
when 2
where 4
while 1
who 2
with 6
wives 1
wont 1
work 2
wouldnt 1
