8728221
/m/027gk21
/m/027gk21
Georgette Heyer
1925
12 1
1331413 1
1400 1
14yearold 1
175 1
a 3
able 1
actual 1
adventures 1
afraid 1
after 2
agrees 1
alan 3
also 1
an 1
and 11
appear 1
are 1
arms 1
as 1
attacking 1
away 1
back 3
be 1
beauvallet 2
become 1
been 1
belremy 2
besieging 1
best 1
both 1
bring 1
bushes 1
but 3
by 2
castle 2
city 2
come 1
comes 1
companion 1
cousin 1
covers 1
dagger 2
days 1
death 1
declares 1
each 1
english 2
equal 1
eventually 1
faced 1
father 1
fathers 1
fends 1
few 1
finally 1
find 1
finding 1
finds 2
first 2
flee 2
fling 1
foe 1
follows 1
footing 1
for 5
forced 3
forces 1
friend 3
friends 1
from 1
fulk 1
fulks 1
geoffrey 4
gets 1
go 1
goes 2
grandson 1
gratitude 1
great 4
hands 1
has 2
hated 1
he 8
hearing 1
heir 1
henry 3
her 9
herself 2
him 5
himself 3
his 5
however 1
illegitimate 1
impossible 1
in 6
indignant 1
into 1
is 11
it 2
iv 1
john 1
kidnapped 1
kill 1
killed 1
kills 1
kings 1
lady 3
later 3
legitimate 1
life 2
lord 1
lurking 1
make 1
malvallet 2
margaret 10
marry 2
meets 1
men 1
montlice 1
montlices 1
most 1
mothers 1
much 1
my 1
natural 1
never 1
nicholas 1
not 1
obtains 1
of 11
on 4
only 1
opportunity 1
other 1
out 2
page 1
period 1
prince 2
prisoner 2
quick 1
raoul 4
recalled 1
regal 1
resides 1
runs 1
same 1
search 1
seems 1
sent 1
service 1
she 5
shows 1
simon 17
simons 2
sir 1
someone 1
son 3
struggling 1
submission 2
submit 1
submitted 1
take 1
taken 1
takes 2
task 1
tells 1
temper 1
that 6
the 23
them 1
then 2
this 1
though 1
threatening 1
time 1
to 22
too 2
town 1
tries 1
unable 1
until 1
up 2
v 2
wales 1
wants 2
way 1
when 3
where 1
wildly 1
will 2
with 2
works 1
year 1
