12545157
/m/02wchtv
/m/02wchtv
Allan Cole
1989
{"/m/06n90": "Science Fiction"}
a 2
accounts 1
afterwards 1
alex 1
all 1
an 1
and 3
are 2
as 1
assassination 1
back 2
be 1
being 1
book 2
but 2
by 1
called 1
camp 3
captive 1
combat 1
could 1
covers 1
damned 1
de 1
did 1
during 1
duty 1
easily 1
emperor 3
end 1
ends 1
escape 2
eternal 3
eventual 1
evidence 1
first 1
fleet 1
for 1
from 2
half 2
he 2
help 1
hors 1
however 1
if 1
in 4
internal 1
involves 1
is 1
killing 1
last 1
next 1
not 1
now 1
of 2
plot 1
pows 1
prevent 1
prison 2
regime 1
rendered 1
said 1
same 1
second 1
sent 1
ship 1
sten 1
story 3
succeeds 1
successful 1
tahn 4
taken 1
that 3
the 14
their 4
them 1
there 1
they 3
time 1
to 2
topple 1
war 1
was 1
well 1
were 1
when 1
which 1
why 1
will 1
world 1
