21683125
/m/05mz3gk
/m/05mz3gk
Alastair Reynolds

{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
4 1
a 32
aboard 2
about 9
across 3
action 1
advanced 1
advice 1
affected 1
after 7
against 1
agraffe 1
agrees 3
aimed 1
airmen 3
airships 2
all 3
allies 4
allow 2
ally 1
along 1
altered 1
amiss 1
amongst 1
an 6
and 65
angel 5
angels 5
another 1
antizonal 1
anyone 1
anything 1
appears 1
are 14
arrested 1
as 10
asking 1
asks 1
assailants 1
at 9
back 7
bad 1
balloon 1
balloons 1
bane 3
bathhouse 2
battle 2
be 9
bear 1
because 2
bed 1
been 4
befall 1
before 4
begins 1
behind 2
being 2
beside 1
best 1
bi 1
birthmark 2
bleeding 1
blood 1
bodies 1
book 1
both 1
boundaries 2
boundary 1
brain 1
bring 1
bringing 1
building 1
burns 1
but 7
by 12
cage 1
cages 1
called 1
calling 1
can 2
cant 1
caravan 1
carnivorous 1
carriage 1
carries 1
case 1
caught 1
cause 2
causes 1
celestial 3
celled 1
certain 1
chamber 2
changes 2
chaos 1
chaotic 1
chequered 1
china 1
city 3
cleanup 1
clients 1
close 2
closer 2
colonised 1
come 3
comes 1
complete 1
complicated 1
consistent 1
consumed 1
could 2
course 1
crates 2
crew 1
cross 2
cure 1
curtana 4
cut 2
cyborgs 1
dangerous 1
daughter 2
day 1
dead 2
death 2
deceptions 3
decide 1
decided 1
decides 1
delivers 1
demand 1
demands 1
destination 1
dilution 2
dirt 1
disabling 1
discussion 1
distance 1
distribution 1
divert 1
diverts 1
down 3
dragon 1
dreams 1
drugs 1
dying 1
earthgate 1
effective 1
elect 1
enemies 1
engines 2
enlisted 1
enter 1
entire 1
entity 1
entrance 1
era 1
escape 1
escort 1
even 3
eventually 3
ever 1
everyone 1
execution 1
extraction 1
factions 1
fail 1
falls 1
feed 1
few 1
fierce 1
fifty 1
fight 1
final 1
finally 1
find 2
finding 2
finds 4
finished 1
finishes 1
fire 2
firing 1
first 1
flag 1
flags 1
flight 1
for 9
force 1
foreseeable 1
four 1
fray 5
fresh 1
from 9
further 2
future 1
gang 1
get 6
gets 1
