8718499
/m/027g4w3
/m/027g4w3
Terrence McNally

a 3
about 2
affair 1
alternately 1
an 1
and 4
are 1
aristotle 1
art 1
as 1
at 2
before 1
by 1
callas 1
career 1
caustic 1
class 1
commanding 1
core 1
culminates 1
dismayed 1
diva 1
dropdead 1
duckling 1
early 1
fierce 1
funny 1
glamorous 1
glories 1
hatred 1
her 9
holding 1
impressed 1
in 2
included 1
into 2
is 1
it 1
its 1
la 1
largerthanlife 1
life 1
maria 1
master 1
monologue 1
musings 1
name 1
of 3
onassis 1
own 1
parade 1
pedagogue 1
performances 1
press 1
recollections 1
retreats 1
rivals 1
sacrifice 1
savaged 1
scala 1
she 1
students 1
surprisingly 1
taken 1
that 1
the 5
triumphs 1
ugly 1
unforgiving 1
voice 1
who 1
with 1
years 1
younger 1
