7619669
/m/0266ylh
/m/0266ylh
Milan Kundera
1993
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 16
actually 1
again 1
all 2
and 10
apparent 1
are 1
as 3
at 3
attention 1
bar 1
be 1
been 1
berck 3
book 2
both 1
brought 1
by 3
carefully 1
changed 1
characters 2
chateau 2
chevalier 2
combination 1
concept 1
conference 1
dancer 2
de 1
deal 1
demand 1
depart 1
destination 1
different 1
disappointment 1
each 1
effects 1
eighteenthcentury 1
emptiness 1
end 2
even 1
experiences 1
facade 1
fact 1
fiction 1
france 1
friend 1
from 1
girl 1
have 2
having 2
her 2
him 1
his 1
hotel 1
how 2
humanity 1
idea 1
ideals 1
illustrates 1
immaculata 1
in 3
individual 1
interact 2
into 1
is 3
it 1
its 1
kundera 5
learning 1
lines 1
location 1
madame 1
manages 1
meditation 1
meet 2
meets 1
memory 1
met 1
modern 1
modernity 2
must 1
narrator 1
night 1
novel 1
number 1
of 10
on 3
once 1
orchestrated 1
our 2
owner 1
past 1
perception 1
perfection 1
perspective 1
pleasure 2
plot 2
plots 1
pointofview 1
provides 2
pursues 1
represent 1
romance 1
same 1
scorned 2
seems 1
sensual 1
sensuality 2
showing 1
shows 2
single 1
slowly 1
speed 1
story 1
t 1
technology 1
tells 1
that 3
the 20
these 2
they 3
through 1
tie 1
to 5
together 2
told 1
tools 1
united 1
until 1
upon 1
us 1
vacation 1
vincent 2
visits 3
weave 1
who 2
with 4
woman 2
world 2
