4778951
/m/0cmwl0
/m/0cmwl0
Jane Urquhart

{"/m/0hwxm": "Historical novel"}
12 1
40s 1
a 13
after 5
aged 2
ago 1
all 1
allward 3
also 2
alteration 1
an 1
and 15
anger 1
as 3
assumed 1
at 2
attempts 1
away 1
battle 1
bavaria 1
because 1
becker 4
becomes 1
been 2
befriends 1
being 1
bell 1
boy 1
brings 1
brother 3
build 1
built 1
but 4
by 3
canada 2
carve 1
carving 2
century 1
change 1
chef 1
church 1
comes 1
communities 1
completed 1
constant 1
contrast 1
dead 1
death 1
decides 1
despite 1
determined 2
devastated 1
disguised 1
district 1
drawn 1
eager 1
eamon 3
emotionally 1
emotions 2
ends 1
enhances 1
eventually 1
face 1
falls 2
family 3
farming 1
father 1
fearful 1
felt 1
fight 1
first 2
for 6
forgive 1
forgotten 1
france 3
french 1
from 3
fulfilling 1
germancatholic 1
giorgio 2
good 1
granddaughter 1
grandson 1
gstir 1
guilty 1
had 3
hamilton 1
having 1
he 8
help 1
helps 1
her 6
him 3
himself 1
his 8
hobo 1
home 3
how 1
hurt 1
i 1
imposing 1
in 11
indirectly 1
initial 1
injured 1
intimacy 1
irish 1
is 12
italian 1
joseph 1
key 1
killing 1
klara 8
knew 1
later 2
leading 1
learn 1
leaves 2
leaving 1
left 1
leg 1
life 1
lives 3
losing 1
love 2
man 1
massive 1
master 1
meets 1
memorial 3
memorialised 1
memory 1
mid1th 1
minister 1
missing 1
monument 3
named 1
not 1
novel 1
now 1
of 6
often 1
on 6
one 1
ontario 1
opens 2
out 2
overcoming 1
partners 1
pass 1
people 1
permission 1
personalises 1
physical 1
place 1
rails 1
refuto 4
reluctance 1
reluctantly 1
reported 1
restlessness 1
retains 1
returning 1
returns 1
reunited 1
ridge 1
roads 1
running 1
sculpts 1
sees 1
sent 1
serves 1
settlement 1
several 1
she 3
shoneval 2
shut 1
silent 1
since 1
situated 1
skills 1
some 1
son 2
spends 1
spinster 1
start 1
statue 1
stay 1
stone 1
suffers 1
taken 1
teaches 1
that 1
the 25
their 1
they 2
tilman 10
time 4
to 19
top 1
town 1
trade 1
tramp 1
travel 2
trenches 1
tries 1
try 1
unable 1
unenthusiastic 1
up 3
valley 1
vimy 2
walter 1
war 3
warwounded 1
weeks 2
when 2
where 1
who 4
will 1
with 11
without 1
woodcarver 1
work 1
working 1
world 1
wrongs 1
years 2
