13876614
/m/03clz5j
/m/03clz5j
Nora Roberts
2005-07
{"/m/0lsxr": "Crime Fiction", "/m/014dfn": "Speculative fiction"}
a 6
again 1
already 1
an 1
and 7
another 1
are 2
arent 1
as 1
b 1
begins 2
benefits 1
born 1
but 1
by 3
called 1
children 1
cloned 1
cosmetic 1
created 1
dallas 1
death 1
delia 1
design 1
detective 1
disks 1
dna 1
dont 1
dr 4
eve 1
even 2
for 1
from 1
genius 1
girls 1
heart 1
her 1
him 1
his 2
husband 1
icove 5
icoves 2
in 2
initials 1
inside 1
into 1
investigating 1
is 1
jonah 1
jr 2
killed 1
killing 1
looking 1
lteve 1
make 1
murder 1
mystery 1
no 1
not 1
of 4
office 1
one 1
organization 1
out 1
partner 1
peabody 1
people 1
private 1
reconstructive 1
renowned 1
reveal 1
roarke 1
run 1
sainted 1
same 1
scene 1
school 1
secret 1
security 1
sense 1
single 1
son 1
soon 1
sr 1
stab 1
stranger 1
surgery 1
that 1
the 6
their 1
they 1
things 1
to 1
uncover 1
walking 2
was 1
way 1
what 1
when 2
where 1
while 1
wilfred 2
wilson 2
with 2
woman 2
women 1
world 2
young 1
