3740300
/m/09ydt4
/m/09ydt4
Robert Rankin
1993
a 10
advance 1
adventure 1
against 1
all 1
allow 1
along 2
also 1
an 1
and 5
another 1
are 2
areas 1
arrival 1
arthur 3
as 2
az 1
be 1
begins 1
book 6
brentford 1
but 2
by 4
campbell 6
cheque 2
claims 1
complete 1
copy 1
cornelius 6
creation 1
cult 1
denizens 1
destroyed 1
devoted 1
discovered 1
drivers 1
encounter 1
entrance 1
entrances 1
escapes 1
evil 1
excepting 1
fact 1
father 1
find 2
firm 1
foiled 2
for 3
forbidden 4
forces 1
forms 1
from 2
gathering 1
great 1
halfbrother 1
heroes 2
hidden 1
him 2
hired 1
his 1
home 1
hugo 3
humanity 1
in 2
into 1
is 8
it 1
journey 1
key 1
kobold 3
large 2
left 1
locations 1
london 2
lost 1
map 2
murphy 1
mysterious 1
nearest 1
next 1
ocarina 3
of 11
only 1
out 1
plans 1
plotting 1
presents 1
print 1
publication 1
publishing 1
pursue 1
realizes 1
reinvented 2
represent 1
retrieve 2
return 2
revealed 2
royalties 1
rune 3
schematic 1
schoolfriend 1
secrets 1
seeking 1
seemingly 1
set 2
showing 1
suppressed 1
taxi 1
that 2
the 34
their 3
them 1
then 1
there 1
they 1
to 15
trick 1
truths 1
tuppe 2
two 1
ultimate 1
unknown 2
waiting 1
was 1
who 2
wishing 1
with 4
working 1
world 1
zones 5
