554818
/m/02pg0d
/m/02pg0d
Lois Duncan
1978-04
a 24
abandon 1
accepts 1
afraid 1
after 2
airport 1
alive 1
all 4
along 1
also 1
amnesty 1
an 1
and 26
any 1
anything 1
around 1
arrives 1
as 8
asks 1
assistant 1
at 6
basketball 1
be 2
because 6
been 5
before 1
beg 2
begs 1
being 1
believes 2
belongs 1
betsy 9
bind 1
blamed 1
body 1
bottle 1
boy 1
boys 1
breakdown 1
brian 2
broken 1
brown 2
buried 1
bury 1
but 5
by 2
cant 1
car 3
case 1
charges 1
check 1
cheerleader 1
chevy 1
class 2
cline 1
college 1
collegeage 1
color 1
conference 1
connection 1
conspiracy 1
conspirators 1
contact 1
couldnt 1
couple 1
cover 1
crime 1
criminal 1
crowddecide 1
crush 2
cs 1
curtains 1
dark 1
david 12
davids 1
day 2
days 1
dead 2
deadend 1
death 1
decides 1
defies 1
demanding 1
despite 1
destroy 2
diagnosed 1
dirt 1
disapproval 1
discovers 1
disposing 1
do 2
does 3
doesnt 1
dolly 1
done 1
drive 1
driveway 1
driving 1
ends 1
english 1
englishliterature 1
everyone 1
evidence 2
except 2
exchange 1
exgirlfriend 1
f 1
faces 1
facing 1
failure 1
family 1
father 6
fiancee 1
find 3
finds 1
fingerprints 1
fire 3
fixing 1
for 8
former 1
friend 1
friends 1
from 5
further 2
garrett 1
gave 1
get 2
gets 1
girl 2
girlfriend 2
gives 2
go 1
goes 1
going 2
gradebased 1
grandmother 5
granted 1
gray 2
grief 1
griffin 22
griffins 1
group 6
had 3
hallway 1
happened 1
has 9
have 3
he 12
head 1
heads 1
heart 1
help 3
her 14
hide 1
high 2
him 7
his 17
hole 1
home 3
homework 1
house 2
however 1
hurry 1
husband 2
if 1
in 16
includes 1
informing 1
instead 1
instructs 1
intends 1
investigate 1
involved 1
is 18
it 7
jealous 1
jeff 4
job 1
kathy 2
kidnapping 1
kill 1
killed 2
killer 1
kinney 1
know 1
knowing 1
knowledge 1
lana 2
last 1
late 2
later 1
lazy 1
learns 1
leave 2
leaves 1
left 2
lied 1
life 1
like 3
lives 1
looked 1
looking 1
lot 1
luna 1
made 1
makes 1
manipulating 1
manipulative 1
mark 19
mastermind 1
meals 1
medication 1
medicine 2
meet 1
meeting 1
meets 1
mention 1
might 1
miraculously 1
more 1
mother 3
mountains 3
mr 18
mrs 1
much 1
murder 2
nagging 1
need 1
needed 1
needs 1
neighbor 1
nervous 1
never 1
news 1
next 1
no 1
not 5
nothing 1
novel 1
obeys 1
of 13
office 1
officer 1
often 1
on 7
one 1
only 1
or 3
orders 1
other 2
out 3
outings 1
over 1
overcome 1
overnight 1
paper 1
papers 1
parents 2
parking 1
part 2
patch 1
patched 1
paying 1
person 1
picnic 1
picture 1
place 1
plagiarized 1
plain 1
player 1
plot 1
police 8
popular 2
prank 1
president 1
pressures 1
pretty 1
previous 1
professor 1
psychopath 1
pulls 1
question 1
reaches 1
realizes 2
really 1
recently 1
recognized 1
recognizes 2
referring 1
refuses 1
remembers 1
remote 1
repainted 1
repaints 1
report 1
resents 1
result 1
return 1
returned 1
revenge 1
ride 1
ring 4
role 1
ruggles 1
same 2
saved 1
scheme 1
scholarship 1
school 2
secret 1
secretarial 1
secretly 1
see 1
sees 1
senior 1
seriously 1
set 1
sets 1
she 8
since 2
so 3
speeding 1
spending 1
spent 1
spoiled 1
spot 1
state 1
steering 1
stole 1
stop 1
students 6
studentsthe 1
support 1
supposed 1
susan 22
suspect 1
sweater 2
take 3
takes 1
taking 1
taunts 1
teacher 2
tell 2
telling 3
tells 2
testimony 1
thanks 1
that 15
the 64
their 4
them 2
there 2
they 8
things 1
this 1
those 1
though 1
threatens 1
three 1
ticket 1
time 2
to 34
toward 1
trials 1
turn 1
turnbolt 1
two 1
ultimately 1
university 1
unravels 1
until 1
up 1
upholstery 1
uprooted 1
upset 1
used 1
varying 1
visits 1
want 1
was 4
watch 2
wearing 1
wears 1
what 3
wheel 1
when 2
which 2
who 7
whole 1
wife 1
will 3
wipe 1
with 14
without 1
woman 1
worked 1
working 1
would 2
