31079139
/m/0gg5kpw
/m/0gg5kpw

2005-09-22
{"/m/03mfnf": "Young adult literature"}
a 6
aa 3
about 2
accident 2
after 2
agreed 1
agrees 1
alcohol 1
alcoholic 1
an 1
and 10
angry 1
another 1
any 1
as 6
asking 1
at 6
attends 1
back 2
bathroom 1
be 1
been 1
book 1
briefly 1
bulimia 1
busted 1
calls 1
caused 1
chess 1
city 1
college 5
completely 1
confess 1
contacting 1
convincing 1
could 1
day 1
deal 4
doctor 1
does 1
dorm 2
dream 1
drinking 2
driving 1
drunk 1
each 1
easy 1
emails 1
encounters 1
erica 8
erika 1
eslem 1
except 1
father 1
feelings 1
first 1
following 1
follows 1
for 3
former 1
four 1
free 1
get 2
gets 1
girl 1
go 2
goes 1
had 1
have 1
he 13
her 5
high 1
him 2
his 10
home 1
how 1
in 2
into 2
is 2
it 2
knee 1
know 1
leaves 1
leaving 1
left 1
local 1
longer 1
lose 1
love 1
making 1
mark 1
meeting 2
meetings 1
meets 1
michael 3
mistake 1
month 1
night 1
no 1
not 1
novel 1
of 4
offer 1
on 5
one 1
opens 1
other 1
over 1
placed 1
possible 1
problem 1
problems 1
progresses 1
protagonist 1
quits 1
realizes 2
rehab 1
room 1
roommates 1
rudas 1
same 1
scholarship 2
school 1
senior 1
series 1
sick 1
slowly 1
so 1
some 1
speaking 1
spend 1
spies 1
spy 3
story 1
takes 1
talks 3
ted 11
teds 1
teenage 1
tells 2
that 3
the 11
their 3
therapist 1
there 1
they 3
this 1
three 1
through 1
throughout 1
to 11
university 1
until 1
up 1
wakes 1
want 1
was 1
where 1
will 1
with 6
would 1
yahoo 1
year 1
years 1
