423959
/m/026szd
/m/026szd
David Brin
1983
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10 1
150 1
248 1
50000 1
a 12
about 1
actual 1
affairs 1
after 1
alien 7
aliens 2
all 3
allows 1
almost 2
along 1
ambushed 1
an 3
ancestors 1
and 20
anglic 3
any 1
appear 1
approaches 1
are 3
armadas 2
arrive 1
arrives 1
artifacts 1
as 5
at 1
attempt 1
attempting 1
await 1
battle 1
be 3
because 1
been 2
before 2
begin 2
begins 1
belong 1
belonging 1
body 1
bonus 1
book 3
brethren 2
brin 1
brothers 1
buson 1
but 5
by 6
called 2
can 1
cannot 1
captain 2
capture 1
caught 1
causes 1
cehttpwwwreocitiescomarea51corridor8611brinhtm 1
certain 1
character 2
characters 1
chimpanzee 1
close 1
cluster 3
code 1
comparison 1
comply 1
confronted 1
confused 1
confusion 1
contacting 1
containing 1
context 1
coordinates 1
copy 1
craft 1
crashes 1
creideiki 1
crew 9
crewed 1
cripple 1
damaged 1
dashing 1
david 1
decrypted 1
defection 1
derelict 3
described 2
desperate 1
destroy 1
destroyed 2
detection 1
disabled 1
discovers 2
discovery 2
do 1
dolphins 4
draws 1
dreadnought 3
drive 1
during 1
each 1
earth 2
encounter 1
enemies 1
english 2
englishderivative 1
escape 1
escapes 1
family 1
fanatical 1
fear 1
fighting 2
fire 1
first 1
fits 1
fleeing 1
flees 2
fleet 1
fleets 2
for 4
form 1
frequently 1
from 5
further 1
galactic 2
get 2
getting 1
gig 1
go 1
guide 1
guns 1
haikuesque 1
has 1
have 1
he 2
help 1
hidden 1
hide 2
hiding 3
his 2
hologram 1
hopes 1
how 1
httpwwwwebcitationorgqueryurlhttpwwwgeocitiescomalbmontbrinsrhtmdate2001025121711 1
hull 3
human 1
humans 2
hypothetical 1
idea 1
illustrated 2
immediately 1
in 11
incident 1
inform 1
information 1
inside 1
instinctual 1
into 3
investigate 1
is 10
it 2
its 2
killing 1
kiqui 1
kithrup 2
languages 2
larger 1
largest 1
led 1
legendary 1
libraries 1
library 1
like 1
loyal 1
make 2
manages 1
meanwhile 1
members 3
mental 1
microbranch 1
middle 1
mocking 1
modern 1
month 1
moons 1
morgran 1
mostly 1
moved 1
mutinous 1
mutiny 1
natives 1
near 1
neofins 1
night 1
not 2
novel 2
number 1
ocean 1
of 26
off 2
officers 1
on 2
one 5
ongoing 1
only 1
opposing 1
or 1
orders 1
other 2
over 1
own 2
panic 1
parts 1
patron 1
place 1
plan 3
planet 1
poems 1
point 3
presentient 1
preuplifted 1
prevent 1
primal 2
progenitors 1
psicast 1
puny 1
pursued 1
quote 1
race 1
races 4
radio 1
ranging 1
reader 2
receives 1
recover 1
redacted 1
relatives 1
remaining 1
remains 1
rendered 1
repairs 3
reply 2
represented 1
resultant 1
revert 1
sabotaged 2
salvage 4
saved 1
saving 1
says 1
scots 1
secretly 1
send 1
sends 1
senior 1
sent 2
set 1
seven 1
several 5
shallow 1
shifts 1
ship 1
ships 2
shuttle 2
six 1
size 1
small 1
so 1
some 4
spaceship 1
spaceships 1
speak 1
species 1
standard 1
state 1
stranded 1
strands 1
streaker 14
streakers 3
suspects 1
takkatajim 3
team 2
terran 1
terrans 1
the 63
their 5
them 3
then 1
thennanin 6
they 1
this 2
three 1
time 1
to 27
transfer 2
transmission 1
transportation 1
trinary 2
trying 1
tsunami 1
two 2
undamaged 1
undersea 1
universe 1
uplift 1
uplifted 4
uses 2
view 1
wanting 1
wellpreserved 1
when 4
which 2
while 2
with 5
within 1
without 1
wreck 3
year 1
yosa 1
