3766150
/m/09zvsg
/m/09zvsg
Janet Evanovich
1998-06-15
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
accused 1
again 1
an 1
and 4
arch 1
as 1
back 1
barnhardt 1
be 1
cant 1
car 1
competing 1
cop 1
easy 1
exboyfriend 1
exwaitress 1
forget 1
formerprostituteturnedbackup 1
helping 1
her 3
intimate 1
is 2
joe 1
joyce 1
kill 1
little 1
lula 1
matter 1
maxine 1
mentor 1
morelli 2
nemesis 1
nowicki 1
of 3
oh 1
on 1
one 1
plum 1
puzzle 1
ranger 1
relationship 1
resume 1
revenge 1
sally 1
she 3
singer 1
solving 1
someone 1
stealing 1
stephanie 4
sweet 1
the 2
their 1
this 2
though 1
time 1
to 1
trail 1
transvestite 1
trying 1
vice 1
wants 1
with 1
wont 1
