249452
/m/01l0sf
/m/01l0sf
Dashiell Hammett

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
10000 1
a 11
after 1
agency 1
alive 1
allow 1
also 1
among 1
and 7
as 4
because 1
before 1
begins 1
between 1
bleeding 1
brand 4
but 1
by 3
called 1
can 1
chance 1
chief 1
city 3
cleaning 1
coincidentally 1
collided 1
competing 1
continental 2
control 2
crooked 1
culprit 1
deal 1
death 1
detective 1
dies 1
dinah 1
dispute 1
do 1
donald 3
elihu 4
employer 1
ends 3
entry 1
evening 1
exchange 1
extract 1
extracts 1
factions 1
father 1
fell 1
fellow 1
find 1
finds 2
for 3
forced 1
found 1
four 2
from 2
gang 1
gangs 1
gangster 1
gangsters 1
gunshot 1
had 2
has 3
he 6
him 2
himself 3
his 4
icepick 1
in 3
industrialist 1
information 1
innocence 1
interest 1
into 1
invited 1
is 3
it 1
just 1
killed 1
known 1
labor 1
landing 1
leaving 1
letter 1
like 1
local 3
locals 1
look 1
love 1
made 1
main 1
major 1
manages 1
max 1
meantime 1
meet 1
meets 1
moll 1
morning 1
most 1
murder 3
murdered 1
needs 1
next 1
no 1
noonan 1
of 8
off 1
on 2
one 2
only 1
op 15
operatives 1
originally 1
over 1
pays 1
personville 2
poisonville 1
police 2
position 1
possible 1
previous 1
promise 1
renege 1
reno 3
resolve 1
restore 1
reveals 1
semiconscious 1
set 1
several 1
she 2
signed 1
signs 1
so 1
solves 1
sought 1
spending 1
spread 1
stabbed 2
starkey 1
still 1
story 1
suspect 1
thaler 1
that 3
the 35
this 1
threatened 1
time 1
to 10
town 1
tries 1
uncertain 1
up 4
used 1
visible 1
wakes 1
war 1
was 1
well 1
when 2
which 1
whisper 2
who 3
willsson 3
with 6
wont 1
work 1
wound 1
