4664865
/m/0cg4mx
/m/0cg4mx
Judy Blundell

a 2
abandon 1
against 1
an 1
anakin 3
and 2
are 1
as 1
at 1
but 1
catches 1
competition 1
days 1
dispatched 1
eager 1
eye 1
father 1
fixed 1
force 1
galactic 1
games 2
gifted 1
has 1
hekula 1
high 1
his 4
illegal 1
in 2
inherited 1
investigating 1
is 2
jedi 1
kenobi 1
life 1
mission 1
obiwan 2
of 1
off 1
old 1
on 1
padawan 2
past 1
peacekeeping 1
podracing 1
races 1
racing 1
return 1
rivalries 1
same 1
sebulba 1
service 1
some 1
son 1
speed 1
squares 1
supposed 1
the 4
time 1
to 3
traitsat 1
when 1
who 1
worst 1
