8400976
/m/02724ws
/m/02724ws
Anthony Burgess

{"/m/014dfn": "Speculative fiction"}
a 7
adventures 1
agents 1
american 1
and 4
antique 1
as 1
belinda 2
black 1
both 1
british 1
but 1
composer 1
dealer 1
deceased 1
descendant 1
develops 1
different 1
dissident 1
dresses 1
drilon 1
during 1
favor 1
fend 1
finding 1
for 2
freedom 1
friend 1
from 1
has 1
he 1
him 1
himself 1
his 3
holiday 1
hospital 1
hussey 2
in 1
is 1
leaving 1
leningrad 2
market 1
men 1
of 4
on 1
over 1
paul 2
plans 1
preconceptions 1
quite 1
rash 1
recently 1
robert 1
secure 1
seeks 1
sell 1
sexual 1
soviet 2
suitcase 1
suspicious 1
tail 1
taken 1
the 5
to 6
travel 1
trip 1
ussr 1
various 1
which 1
while 1
widow 1
wife 1
with 2
women 1
