27179125
/m/0bwjypd
/m/0bwjypd
Larry Kramer

171 1
a 7
accepting 1
action 2
addresses 1
against 1
aids 6
ambivalence 1
ameliorative 1
america 2
and 19
answer 1
answers 1
are 2
army 1
as 5
audience 1
away 1
back 1
based 1
been 2
begins 1
being 1
better 2
bill 1
bodies 1
bush 1
but 1
by 2
cabal 1
calling 1
cannot 1
civil 1
classist 1
come 1
conclude 1
concludes 1
conservatives 1
court 1
created 2
cure 1
dedicated 1
democracy 1
describe 1
destroying 1
destructive 1
difficult 1
directs 1
disappearing 1
do 5
doing 1
dreams 1
drowning 1
drugs 1
each 1
effects 1
enterprise 2
ever 1
exclaim 1
explaining 1
explains 1
faggots 1
favor 1
figure 1
find 1
foci 1
for 10
forever 1
forward 1
fought 1
foundations 1
free 2
friends 1
front 1
future 1
gay 9
general 1
genocidal 1
george 1
get 1
gift 1
given 1
had 1
hates 1
have 3
he 6
hiv 2
homophobic 1
how 2
huge 1
i 9
imperial 1
in 9
inequality 1
intentionality 1
into 1
introduces 1
is 2
it 3
its 1
itself 1
journalist 1
justice 1
kramer 7
last 1
leading 2
lease 1
lesbian 1
lesbians 4
less 1
lewis 1
liberal 1
life 3
lifework 1
lives 1
living 1
lost 1
love 2
main 1
make 1
manifesto 1
men 4
millions 1
minorities 1
moral 1
more 2
most 3
move 1
moyers 1
nations 1
negatives 1
new 2
no 1
nonchristians 1
not 4
note 1
of 21
offer 1
on 2
one 3
only 2
or 1
other 1
our 1
out 2
part 1
past 1
people 3
pigshit 1
pirates 1
piss 1
places 1
plan 1
please 1
poor 1
population 1
positives 1
powell 2
privileged 1
quoting 1
racial 1
racist 1
rather 1
really 1
recognizes 1
reelected 1
refrain 1
remember 1
repeated 1
research 1
reveals 1
rights 4
served 1
smarter 1
socioeconomic 1
speech 2
started 1
states 6
stating 1
structure 1
struggle 1
such 1
supreme 1
survival 1
symptoms 1
synecdoche 1
system 1
take 1
talented 1
than 2
that 8
the 29
their 2
themselves 2
then 2
they 1
think 2
this 2
those 2
throughout 1
to 14
topic 1
totally 1
transform 1
treat 1
treatment 1
treatments 1
trope 1
true 1
truth 1
understanding 1
united 4
up 2
urgent 1
urges 1
us 2
values 1
very 1
w 1
war 1
warns 1
was 2
we 2
well 2
were 5
which 2
who 2
wildest 1
will 1
with 1
within 1
without 1
word 1
worked 1
world 1
written 1
you 1
