25474268
/m/09rvvt3
/m/09rvvt3
Patricia Willis

173 1
a 1
about 2
amos 3
an 1
and 8
anne 1
are 2
back 1
behind 1
blue 1
but 2
by 3
call 1
captured 2
chef 1
children 2
clara 1
condition 1
continue 1
cow 3
dangerous 1
decide 1
die 1
direction 1
down 3
during 1
father 3
finally 1
find 3
from 1
get 2
go 1
got 1
grandfather 1
he 1
him 2
his 3
hoping 1
how 1
if 1
in 3
indian 2
indians 2
is 1
jacket 1
jonathan 1
journey 1
leave 1
left 1
make 1
marietta 3
may 1
mistrusts 1
moccasin 3
must 1
notes 1
of 1
ohio 3
on 1
own 1
queen 1
raid 1
red 3
refuses 1
river 3
see 1
separated 1
settlement 2
shawnee 1
siblings 2
slows 1
stay 1
swept 1
that 1
the 11
their 8
them 2
there 2
they 7
theyre 1
thinking 1
thirteenyearold 1
three 1
through 1
to 5
towards 1
traveling 1
way 1
wilderness 1
younger 1
