5405547
/m/0dkd0z
/m/0dkd0z
Julian Fellowes

a 4
accepts 1
actor 1
affair 1
after 1
alien 1
all 1
already 1
an 4
and 8
announces 1
are 1
aristocracy 1
as 1
at 2
attempt 1
back 1
background 1
begin 1
being 1
bores 1
both 1
broughton 4
bumbling 1
but 1
by 3
caroline 1
catch 1
chance 1
charles 8
chase 2
class 1
classes 1
comes 1
couple 1
courtship 1
cracks 1
divorce 1
drama 1
edith 7
embarks 1
enemy 1
engagement 2
enough 1
eric 1
especially 1
et 1
eventually 1
extremely 1
fame 1
family 1
favourably 1
feels 1
filming 1
fold 1
for 2
form 1
frequently 1
friends 2
from 1
glad 1
googie 1
greatest 1
hall 1
happily 1
has 1
have 1
he 1
her 10
herself 1
his 1
honeymoon 1
husband 1
in 4
ironically 1
is 7
kindhearted 1
lady 1
lavery 1
leads 1
life 2
live 1
looked 1
majorca 1
make 1
man 1
many 1
marchioness 1
marquess 1
marriage 1
marry 2
middle 1
mock 1
most 1
mother 2
narrator 1
nearly 1
news 1
not 1
of 9
on 1
only 1
or 1
out 1
parents 1
period 1
pregnant 1
puzzles 1
reached 1
relatives 1
respectable 1
returns 1
rich 1
riches 1
russell 2
scenes 1
seat 1
she 5
similar 1
simon 1
single 1
sister 1
son 1
spain 1
spent 1
story 1
success 1
tempted 1
the 12
they 2
time 1
to 11
trying 1
uckfield 2
upon 2
upper 2
very 1
when 2
which 1
who 4
with 2
woman 1
