4474012
/m/0c4g5r
/m/0c4g5r
Beatrix Potter
1910
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 24
about 3
acorncupfuls 1
after 2
again 1
all 1
always 1
amongst 1
and 19
appeal 1
are 2
as 2
at 2
attends 1
away 3
babbitty 1
be 1
because 1
bed 2
bedroom 1
bee 1
bees 2
beeswax 2
beetle 1
before 1
being 1
below 1
big 1
bowl 1
box 1
brush 1
bumble 2
but 6
butterfly 1
buzz 1
can 1
ceremony 1
chair 1
children 1
cleaning 1
close 1
coat 1
cupboard 1
deal 1
dinner 2
dirty 2
discovers 2
dishcloth 1
distant 1
distracted 1
ditch 1
door 2
drain 1
drip 1
dusting 1
dustpan 1
empty 1
events 1
ever 1
everybody 1
excluded 1
exhausted 1
exorcised 1
far 1
fastidious 1
fears 1
fiercely 1
finally 1
finds 2
finery 1
fire 2
five 1
floor 1
floors 2
fly 1
follows 1
food 1
footmarks 1
footprints 1
for 3
forced 1
forth 1
fortnight 1
four 1
from 2
front 1
funny 1
furniture 1
go 1
goes 1
good 1
has 4
have 1
he 8
health 1
hedge 2
her 13
him 2
his 2
holds 1
home 1
honey 1
honeydew 1
house 5
human 1
humans 1
if 1
immemorial 1
in 12
inquiring 1
insect 1
intruders 1
is 10
it 1
jackson 5
keep 2
keeps 1
kitchen 1
ladybird 1
larder 1
leave 1
leaves 1
left 1
likely 1
little 6
lives 1
makes 1
matter 1
meets 1
mess 2
messes 1
miss 1
mop 1
moss 1
most 1
mouse 2
mr 5
mrs 8
muffet 1
narrowed 1
neighbour 1
nest 2
next 1
no 2
not 1
nutcellar 1
nutcellars 1
observance 1
occurred 1
of 6
offence 1
on 3
one 3
or 1
other 2
out 3
outside 1
pantry 1
parlour 4
part 1
partly 1
party 1
passage 1
passages 1
passed 1
place 1
play 1
pleasing 1
polishes 1
pull 1
pulling 1
refuge 1
regency 1
residence 1
result 1
retreats 1
rocking 1
roots 1
rubs 1
rummages 1
sandy 1
searching 1
seedcellars 1
shall 1
she 12
shooed 1
simple 1
since 1
sit 1
sitting 1
smell 1
soft 1
some 1
sorts 1
spends 1
spider 1
spoons 1
spring 1
stays 1
storerooms 2
story 1
sugar 1
sweeping 1
tails 1
taken 1
takes 3
tale 1
terribly 1
the 20
their 3
then 1
they 2
though 1
three 1
through 1
tidy 3
time 1
tin 1
tittlemouse 8
to 12
toad 1
toasts 1
treated 1
tries 2
turmoil 1
turned 1
twigs 1
up 2
ventures 1
very 1
water 1
wearing 1
wet 2
when 2
where 1
which 2
who 1
will 1
window 1
with 7
wondering 1
woodmice 1
yards 2
young 1
your 1
