1775704
/m/05vzq7
/m/05vzq7
Marion Mainwaring


a 3
also 1
ambitious 1
american 1
and 4
around 1
art 1
as 4
at 1
but 1
by 1
churchill 1
considered 1
consuelo 1
duke 2
english 1
englishmen 1
example 1
extent 1
fashionable 1
five 1
follows 1
for 3
gentleman 1
girls 2
guardians 1
heiress 1
held 1
her 1
illfated 1
imitating 1
important 1
impoverished 1
in 2
is 2
it 2
lady 1
landed 1
life 1
london 1
love 1
marlborough 1
marriage 2
marriages 1
marry 2
matrimonial 1
morals 1
more 1
nan 1
novel 2
of 7
one 1
participate 1
plot 1
poignant 1
position 1
progresses 1
purposes 1
randolph 1
resembles 1
revolves 1
romantic 1
search 1
season 1
since 1
social 1
society 1
some 1
stories 1
story 2
than 1
the 13
their 1
them 1
time 1
tintagel 1
titled 2
to 3
vanderbilt 1
was 1
wealthy 1
well 1
when 1
who 1
