3012644
/m/08kj9v
/m/08kj9v
Diana Gabaldon
1991-06-01
1743 1
18th 2
200 1
20th 1
a 78
abandoned 1
abbey 2
abbot 1
about 3
absolution 1
abused 1
according 1
accused 1
actions 1
adapts 1
addition 1
after 8
against 1
aggression 1
agitated 1
agrees 2
alias 1
all 4
allegations 1
allow 1
allows 1
almost 2
alone 1
along 1
also 7
although 1
am 1
amateur 1
among 1
an 16
ancestor 2
and 77
anger 1
angry 1
anne 2
answer 1
any 2
apparent 2
apparently 2
apprehend 1
apprehended 1
are 11
argues 1
argument 2
arm 3
arms 1
army 3
arrangement 1
arrives 1
as 23
asks 3
assumes 1
at 6
attachment 1
attack 1
attacked 2
attempt 3
attempts 3
attendance 1
attraction 1
await 1
aware 1
away 1
back 6
background 1
battle 1
battlefield 1
be 11
bears 2
beat 3
beaupre 1
beautiful 1
beauty 1
because 1
become 1
becomes 1
been 6
before 7
befriends 1
begin 1
beginning 1
behind 1
being 4
believe 2
believes 1
believing 2
below 1
best 2
betrayed 1
between 2
black 1
bones 1
botanist 1
both 3
bother 1
bothers 1
bottom 1
breakout 1
briefly 1
bring 1
brings 1
british 3
broken 1
brother 2
brought 1
brutal 1
bushes 1
but 10
buzzing 1
by 33
calls 1
campbell 1
can 3
candidate 1
cannot 1
captain 5
captured 1
castle 13
catholic 1
cattle 1
caught 1
cause 3
caused 1
cell 2
century 3
chair 1
changed 1
chaos 1
chapel 1
charge 1
child 2
christened 1
clad 1
claiming 1
claims 2
claire 64
clan 4
clansmen 3
clearing 1
closer 2
collapses 1
collect 1
collection 2
collects 1
colum 5
combine 1
come 2
companions 1
company 1
compared 1
complies 1
concealed 1
conceive 1
concludes 2
condition 1
conflict 1
confused 2
connections 1
conservative 1
consider 1
consummate 1
consummated 1
contact 1
convinces 1
cook 1
cordial 1
countryside 3
couple 3
course 1
craig 2
craigh 3
crew 1
crippled 1
crude 1
culture 2
cunning 1
cunningly 1
cursing 1
custom 1
damage 1
date 1
dated 1
day 4
de 1
deal 1
