11266255
/m/02r5mhd
/m/02r5mhd
David Weber
2002
1 1
1000 1
11 1
14th 1
14thcentury 1
20 1
200 1
22 1
22nd 1
3 1
a 12
abducted 2
about 2
across 1
actually 1
advanced 2
age 1
ago 1
alien 2
aliens 5
all 1
alliance 1
an 4
and 15
another 1
appear 1
approached 1
are 4
army 3
arthur 1
as 3
at 3
avalon 3
average 1
back 1
baron 3
battleships 1
be 2
because 2
become 2
begins 1
beyond 1
bigger 1
billion 1
book 1
bound 1
building 1
but 3
by 5
came 2
can 3
capable 1
captured 1
carefully 1
centuries 1
century 2
chance 1
charge 1
civilisation 1
comment 1
commercial 1
comparably 1
confrontations 1
considers 1
continues 1
could 1
council 2
course 1
creature 3
decide 1
destroy 2
developed 2
development 3
develops 1
different 1
discovers 1
dispatched 1
dragoncreature 1
dragonlike 3
drive 2
during 1
each 1
earth 7
easily 1
easy 1
empire 5
english 6
even 1
eventually 1
excalibur 1
far 2
fast 2
fasterthanlight 1
federation 14
fifteen 1
fifty 1
fight 3
find 2
fleet 1
for 3
force 1
form 1
forward 1
found 1
founded 1
founder 1
freeze 1
from 7
ftl 2
galactic 3
gives 1
go 1
government 1
greatest 1
grown 2
guild 4
gunpowder 1
had 1
has 7
have 4
he 1
heel 1
hiding 1
his 1
history 1
how 1
however 1
human 1
humanity 6
hundred 2
in 9
increase 1
inspired 1
instead 1
invades 1
is 6
it 7
its 3
just 1
king 1
law 1
lay 1
least 1
legal 1
legend 1
legion 1
like 1
live 1
long 1
lowtech 1
makes 1
many 1
massive 1
membership 1
mercenaries 1
moment 1
moves 1
mutiny 1
need 1
new 1
not 2
now 2
nuclear 1
numbers 1
obtain 1
of 20
offer 1
on 8
one 2
only 3
original 1
originally 1
other 2
over 4
own 1
planets 1
planned 1
plot 1
population 1
prepared 1
previously 1
primitive 1
progresses 1
protected 1
protectorate 1
races 4
rate 1
rebellions 1
requiring 1
rescuers 1
return 1
reveal 1
rise 1
roman 1
same 1
saying 1
says 1
series 1
serve 1
ship 2
ships 3
shown 1
single 1
so 2
solar 1
some 1
space 1
spaceships 1
stability 1
stands 1
started 1
states 1
story 3
strayed 1
succeed 1
superiority 1
sword 1
tactics 1
take 2
technical 1
technological 1
technology 1
tells 1
than 1
that 5
the 63
their 4
them 4
themselves 1
then 1
therefore 2
these 1
they 3
this 1
thousand 1
threat 1
time 1
tiny 1
title 1
to 17
too 1
took 2
try 1
under 2
universe 1
until 1
used 2
using 1
values 1
vast 1
victory 1
was 1
weaponry 1
weapons 1
were 1
when 3
where 2
which 3
while 1
who 2
will 1
wipe 1
with 3
world 2
worlds 5
would 2
years 3
