5406230
/m/0dkd_8
/m/0dkd_8
Ben Aaronovitch

13500020012th 1
a 39
about 4
access 2
accidentally 1
achieve 1
across 2
act 1
activates 1
adopted 1
africa 1
african 1
after 2
again 1
against 2
agent 1
ago 1
agrees 2
alistair 1
allen 1
along 1
also 2
alternative 1
among 1
an 5
anchorman 1
and 48
another 2
anyone 1
appears 2
archive 1
arcturus 2
are 5
army 1
arrive 2
arrives 1
artron 1
as 8
ask 1
assumes 1
at 8
attack 1
attacked 1
attempts 1
awakens 1
away 1
baby 1
back 1
bar 1
barely 1
batch 1
be 2
become 1
been 2
before 2
begin 1
begins 2
behiaving 1
beijing 1
being 1
belongings 1
benny 19
bernice 1
between 2
birthday 1
blast 2
blasts 1
blind 1
blondie 10
board 1
boards 1
breach 3
brief 1
build 3
burnt 1
burst 1
but 7
by 3
cafe 1
calls 1
can 1
cannot 3
capable 1
catch 1
caught 1
cause 1
caused 1
causing 1
celebrating 1
ceremony 1
childhood 1
close 1
collapses 1
collected 1
colony 1
combat 1
commandeers 1
communicates 1
complete 1
computer 3
concrete 1
confirming 1
confirms 1
connected 1
constructs 1
contacts 2
controlling 1
convinces 1
corner 1
craft 2
created 1
creating 1
creatures 1
cross 1
cut 1
damage 1
danger 1
dangerous 1
day 1
dealer 1
dealers 1
debts 1
deduces 1
defence 1
deliver 1
demands 1
depart 1
depot 1
descendant 1
destroy 1
destroys 1
determine 1
developing 1
device 1
difficulty 1
dimension 3
dimensions 1
disappear 1
discovers 1
disguised 1
distract 1
distracting 1
doctor 32
dodging 1
does 1
down 1
drains 1
drop 1
drug 1
drugs 2
drunk 1
duplicate 2
during 2
earth 1
elderly 1
embedded 1
emergemdashit 1
en 1
encourages 1
end 2
energy 3
engineer 1
engineered 1
engineers 1
enough 3
enters 1
erases 1
escapes 1
escaping 1
evacuation 1
eventually 1
everything 1
evidence 1
executives 1
existence 1
exit 1
experience 1
experiencing 1
extension 1
facility 2
family 1
fatal 1
fatalities 1
father 2
financial 1
find 1
finds 1
fire 1
first 1
flashbacks 1
fleeing 1
floozies 6
fly 1
follow 1
following 1
follows 1
for 12
force 1
forcing 1
francine 7
fred 5
free 1
freesurf 1
freesurfers 1
friend 2
from 7
full 1
further 1
gained 1
gaining 1
gang 1
gateway 1
genetically 2
gesture 1
get 1
gets 2
given 1
go 1
grandfather 1
ground 1
groundwork 1
groupmdashincluding 1
gun 1
hacker 1
hacking 1
had 2
