12448349
/m/02w6cm7
/m/02w6cm7
Ali Sparkes
2007-05
{"/m/01jfsb": "Thriller", "/m/01hmnh": "Fantasy"}
a 1
across 1
actually 1
all 1
also 1
and 6
any 1
are 3
at 2
attempt 1
attempting 1
believe 1
but 1
cause 1
clear 1
colas 1
contain 1
country 2
danger 1
dax 3
deadly 1
during 1
electrical 2
events 2
experiences 1
faults 1
find 3
following 1
gideon 4
government 1
he 2
her 1
him 2
however 1
in 2
is 2
least 1
lisa 2
mia 1
name 1
not 2
nothing 1
now 1
of 3
off 2
only 1
other 1
outwit 1
over 1
peril 1
place 1
poses 1
powers 1
pursuers 1
real 1
recover 1
rescue 1
responsible 1
risk 1
running 1
seem 1
sent 1
set 1
she 1
sort 1
stop 1
strange 1
taking 1
that 3
the 8
their 1
these 1
they 2
think 1
this 1
threat 1
time 1
to 8
trying 1
unexplainable 1
vision 1
warns 1
which 1
while 1
will 1
yet 1
