165361
/m/0160h3
/m/0160h3
Gregory McElwain
1947
a 13
after 1
against 1
all 2
an 2
and 19
are 2
as 2
at 1
attack 1
attacked 2
attacks 1
aware 1
baby 3
back 4
be 1
beach 1
been 1
begin 2
better 1
body 1
bottom 1
brief 1
brings 1
brother 1
but 1
buyers 2
by 2
calls 1
can 1
capital 3
catch 1
catches 1
cave 2
city 2
climbs 1
collude 1
coyote 1
coyotito 7
crave 1
cry 1
crying 1
cure 1
dark 1
darkness 1
day 1
dead 1
decent 1
decide 1
decided 1
decides 1
determined 1
direction 1
discover 1
discovers 1
diver 1
diving 1
doctor 2
down 1
dropped 1
enormous 1
everyone 1
exhausted 1
family 1
finally 1
find 5
fire 1
fires 1
following 2
for 5
forces 1
found 1
from 3
furious 1
gathering 1
get 2
getting 1
go 2
greed 1
gun 1
had 1
has 2
have 1
he 12
hear 1
help 1
her 3
hidden 1
hide 1
hides 1
hiding 1
hiking 1
him 3
his 5
hole 2
home 2
hope 1
house 3
however 1
if 1
in 7
into 3
is 6
it 8
juan 1
juana 8
killed 1
kills 2
kino 16
knows 1
la 2
late 1
leave 1
leaves 1
lie 1
like 2
litter 1
lives 1
longer 1
man 3
many 1
men 3
money 1
more 1
morning 2
mountains 2
mourning 1
must 2
natural 1
near 1
nearly 1
nevertheless 1
night 4
no 1
ocean 2
of 11
on 2
one 1
only 1
other 1
out 2
over 1
own 1
pay 3
paz 2
pearl 14
people 1
poor 1
price 2
provisions 1
ready 2
realizes 2
refuse 1
rest 2
return 1
returning 1
returns 1
rid 2
rifle 1
sadly 1
scorpion 2
sea 2
seeing 1
sell 2
set 1
she 1
shortly 1
shot 1
shows 1
sinks 1
small 1
sneaks 1
so 2
something 1
son 1
soon 1
spend 1
spots 1
stabs 1
sting 1
strong 1
stung 1
survive 1
tackles 1
taken 1
takes 2
that 7
the 55
their 2
them 2
then 3
there 2
thereafter 1
they 8
thinks 1
though 1
throw 1
throws 1
to 26
toms 1
town 5
trackers 6
trip 2
unable 1
unknown 1
up 2
very 1
view 1
waits 1
wanting 1
wants 1
water 2
way 1
well 1
what 1
when 4
where 2
while 1
who 1
whole 1
whom 1
wife 2
will 2
with 6
work 1
world 1
wrong 1
young 1
