24578141
/m/0805vk1
/m/0805vk1
Edith Pargeter
1977
{"/m/02n4kr": "Mystery"}
1137 1
a 26
abbey 4
abbot 1
aboard 1
about 3
above 1
accessible 1
accuse 1
actually 1
admit 1
advantage 1
afresh 1
after 6
again 2
agreeing 1
agrees 1
alibis 1
all 3
almost 1
along 1
also 1
although 1
ambitious 2
an 5
and 51
annest 4
announces 1
announcing 1
another 3
answered 1
any 1
anyone 2
anything 1
apparently 2
appeal 1
appear 2
appearance 1
appeared 3
appears 2
are 4
around 1
arrives 1
arrow 4
arrows 1
as 8
ashamed 1
asks 3
assembly 2
assent 1
assist 1
at 12
attempt 1
avoid 1
awakened 1
back 1
bailiff 4
bandage 1
bangor 1
battle 1
be 11
bears 1
become 1
becomes 1
been 8
before 3
begin 1
begs 1
behind 1
being 3
believe 2
believes 1
belongings 1
bened 4
benedict 1
bidding 1
bishop 1
blacksmith 1
blasphemy 1
bleed 1
bleeding 1
bloodstained 1
board 1
body 5
book 1
bow 1
branwen 2
break 2
breaking 1
breaks 1
bribe 1
broke 1
brother 4
brought 1
buried 1
bury 1
but 8
by 10
cadfael 21
cai 3
calling 1
calls 2
calm 1
can 2
cannot 1
carefully 1
carried 1
cart 1
case 1
certainly 1
chagrin 1
champion 2
change 1
chapel 4
child 1
christened 1
claims 1
cledwen 1
clerk 1
close 1
coffin 6
columbanus 22
committing 1
community 2
complacent 1
complies 1
composes 1
confessed 1
confesses 3
contact 1
contents 1
corpse 1
cross 1
crusade 1
cures 1
custody 2
dagger 1
damp 1
daughter 1
day 4
dead 2
death 2
declares 1
deed 1
demanding 1
dense 1
depart 1
derived 1
desired 1
despite 1
development 1
did 1
died 1
difference 1
digging 1
discovery 1
displeased 1
distracted 1
disturbing 1
do 2
does 4
down 2
downtoearth 1
drank 1
dry 1
during 2
dwelling 1
each 1
ecstasy 1
empty 1
engelard 10
england 1
englishman 1
enough 3
enraged 1
epilepsy 1
escape 1
events 1
eventually 1
every 2
excuses 1
exhume 1
experience 1
face 1
faced 1
fall 1
falling 1
far 1
farewell 1
father 3
feet 1
fell 1
finds 2
first 3
fit 2
fits 1
flask 1
fled 1
flee 1
fleeing 1
flees 1
flock 1
floor 1
fluent 1
fondly 1
for 16
forgiveness 2
former 1
found 3
free 2
from 14
front 3
furiously 1
further 1
gardens 1
give 2
glory 2
gone 2
grace 2
grave 5
graze 1
ground 1
gwynedd 3
gwytherin 5
habit 1
had 5
hand 2
handled 1
happened 1
hard 1
has 8
have 8
having 1
hawthorn 1
he 26
heart 1
heavy 1
held 3
help 1
her 10
herb 1
heribert 1
herself 1
hesitate 1
him 14
himself 7
his 10
hospitable 1
