15018458
/m/03h4s36
/m/03h4s36
Ivy Compton-Burnett
1959

0 1
15 1
17 1
18 1
25 1
4 1
40 1
6yearold 1
a 21
about 1
abroad 1
acquire 1
actually 1
addition 1
after 5
again 2
aged 4
ahead 1
alive 1
all 1
allowance 1
almost 3
also 3
always 2
an 1
and 35
announce 1
announced 1
announcing 1
another 2
any 1
appearances 1
approaching 1
are 6
arrangement 1
arrival 1
arrives 1
as 15
asks 1
associate 1
assumes 1
baby 1
be 8
become 1
becomes 2
been 5
before 2
believes 1
bequeathed 1
between 1
blame 1
born 1
both 2
boy 1
break 1
breaking 1
brief 1
brother 3
business 1
by 7
calls 2
cannot 1
catches 1
cedes 1
challoner 5
challoners 2
channel 1
child 2
children 4
claud 1
close 1
closest 1
concerned 1
condition 2
confession 1
conflicting 1
considered 1
constant 1
contrived 1
conveniently 1
cut 1
death 2
deathbed 1
decades 1
deceased 2
decided 1
decides 1
deliberations 1
deposed 1
describing 1
despite 1
did 1
die 1
died 1
dies 2
direct 1
dislikes 1
displaced 1
does 1
doubt 1
down 1
dropped 1
during 1
dwelling 1
easily 1
education 1
edwin 7
elsewhere 1
emma 1
emotional 1
empty 1
end 1
england 1
escape 1
especially 1
estate 1
eve 1
ever 1
everyone 1
everything 1
extended 1
eyes 1
fact 1
falls 1
familial 1
family 5
fanny 2
far 1
farreaching 1
father 5
feels 3
few 3
finally 1
financial 1
finds 1
five 1
for 5
fortune 1
four 1
from 3
funeral 1
future 1
get 1
given 2
goes 1
going 2
good 1
graham 4
grahams 1
grand 1
grandfathermdash 1
had 1
halfserious 1
hamish 16
hand 2
has 13
have 7
having 1
he 12
head 2
healthy 1
heart 2
heir 1
heritage 2
hero 1
herself 1
him 5
himself 2
his 29
history 1
home 1
honeymoon 1
honour 1
house 10
however 3
i 3
if 1
illnessmdashof 1
impending 1
implications 1
impulse 1
in 9
incest 1
influenced 1
informing 1
inherit 2
inheritance 2
instinct 1
intended 1
intention 1
into 2
is 17
issue 1
it 11
its 1
julia 3
junior 1
just 1
keep 2
large 1
late 1
later 2
latter 1
leading 1
legal 1
legitimate 1
less 1
life 2
like 1
line 1
little 1
live 2
lives 1
living 1
lonely 1
long 1
longer 1
made 1
make 1
makes 1
man 1
marcia 6
marriage 3
married 1
marry 4
matter 1
may 1
might 3
modest 1
moment 2
months 1
more 2
moreover 1
most 1
mother 1
move 2
names 1
naomi 3
natural 3
neighbour 1
neighbourhood 1
never 1
new 1
newlyweds 1
no 3
not 4
now 7
object 2
occupying 1
occurs 1
of 23
old 6
older 1
oldest 1
on 9
one 3
ones 1
only 4
order 2
originally 1
ostensibly 1
other 2
ought 1
out 3
own 1
oxford 1
passion 1
past 1
paternity 1
patriarch 1
person 2
perspectives 1
pity 1
place 5
plagued 1
plainer 1
poet 2
poor 1
position 2
precede 1
pregnant 2
prepared 1
prepares 1
presenting 1
prevent 1
profoundly 1
promise 1
promises 1
ralph 2
rather 2
realize 1
received 1
recompense 1
references 1
relying 1
remarking 1
renounces 1
restore 1
return 1
returned 1
revelation 1
rhoda 7
rightfully 1
rural 1
said 1
seat 1
secrecy 1
seem 1
sent 1
separated 1
sets 1
sex 1
shall 1
share 1
she 2
shocked 1
short 2
simon 16
since 1
sir 8
sired 1
sister 1
small 1
son 3
sons 1
sort 1
southern 1
spouse 1
still 2
stress 1
succeed 1
suddenly 2
sums 1
support 1
surprises 2
swears 1
take 2
telegrams 1
tension 1
than 3
that 14
the 55
their 7
them 5
then 1
there 2
these 2
they 2
things 1
this 1
thoughts 2
three 1
threeyearold 1
thus 1
title 3
to 39
together 3
top 1
tragedy 1
troubles 1
turn 1
turned 1
turns 1
two 6
twoyearold 1
ultimate 1
unborn 1
unbridled 1
uncle 1
under 1
united 1
unmarried 1
up 4
upside 1
villain 1
walter 5
was 2
weeks 1
well 2
what 1
when 5
which 3
who 8
wife 3
will 2
with 6
woman 1
word 1
words 1
work 1
workhouse 1
would 1
years 4
you 1
younger 3
youth 1
