931061
/m/03r23k
/m/03r23k
John Grisham
1997
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
0 3
25 2
a 15
access 1
accident 1
account 1
accounts 1
adultery 1
afford 1
after 3
all 2
although 1
an 2
and 12
are 2
aricia 4
arriving 1
as 6
associates 2
automobile 1
back 3
badly 1
bank 2
basic 1
battles 1
because 1
been 2
before 1
benny 5
betrayed 1
bides 1
biloxi 2
blackmails 1
block 1
body 3
border 1
brazil 1
brazilian 1
broken 1
burned 1
but 1
by 9
can 1
car 1
case 1
charges 2
cheating 1
clever 1
client 1
collecting 1
colluded 1
companies 2
compensation 1
complete 1
control 1
conveniently 1
convinces 1
cremated 1
custody 1
danilo 1
daughter 1
dead 3
deal 1
death 1
deep 1
deeply 1
defeated 1
defeats 3
defraud 1
defrauded 1
despite 1
didnt 1
difficult 1
discovered 1
distance 1
divorce 1
does 1
doesnt 1
down 1
end 1
ensue 1
eva 4
even 3
eventually 1
ever 1
evidence 1
extravagant 1
fbi 3
federal 4
feigns 1
finally 3
financial 2
find 2
firm 5
for 3
found 3
four 1
fraud 1
from 3
fugitive 1
funeral 1
gain 1
gave 1
get 1
gets 1
girlfriend 1
goes 1
government 5
had 3
hand 1
has 2
he 22
her 5
him 4
hired 1
hires 1
his 10
hopes 1
however 1
identified 1
if 2
immediately 1
in 16
insider 1
instructed 1
insurance 4
interest 1
intervenes 1
invest 1
involved 1
is 12
it 3
jack 3
junior 1
keep 1
kidnapped 1
killed 1
knew 1
know 3
knowing 1
knowledge 1
knows 1
lanigan 2
later 2
law 2
lawsuit 1
lawyer 1
leans 1
left 1
legal 1
life 2
lifestyle 1
living 1
location 1
longer 1
looking 1
makes 1
man 1
marriage 1
masterminded 1
million 5
millions 1
miranda 1
mississippi 1
monarchsierra 1
money 6
more 1
most 1
murder 2
mutual 1
name 1
never 1
new 1
no 1
northern 1
not 2
now 1
of 10
off 2
offshore 1
on 5
onceadulterous 1
one 2
only 1
openly 1
opponents 1
or 1
over 4
overcharging 1
own 3
paid 1
paraguay 1
partner 2
patrick 15
pay 1
paying 1
plan 1
planning 1
plus 1
ponta 1
por 1
position 1
prearranged 1
pretended 1
profits 1
pull 1
realizes 1
really 1
received 1
receiving 1
relationship 2
rendezvous 1
repatriated 1
result 1
resuming 1
reveal 1
revealing 3
run 1
running 1
safe 1
scam 1
scheme 2
secretly 1
series 1
sharing 1
she 4
shipbuilding 1
show 1
silva 1
simply 1
six 1
small 1
so 1
some 1
specialist 1
spendthrift 1
stands 1
start 1
starts 1
state 2
status 1
stealing 2
stephano 3
still 1
stole 2
subsequently 2
sue 1
sues 2
that 10
the 39
theft 1
their 2
them 1
there 1
they 4
theyre 1
though 1
throughout 1
thugs 1
time 1
tipped 1
to 15
torture 2
tortured 2
town 1
track 1
trappings 1
trouble 1
trudy 5
try 1
under 1
up 1
us 1
vanishes 1
was 4
watches 1
weeks 1
well 1
when 2
which 1
who 1
wife 1
will 1
wind 1
with 4
without 1
wondering 1
wont 1
work 1
would 1
years 2
