338183
/m/01xrl_
/m/01xrl_
Kurt Vonnegut
1959
{"/m/0vgkd": "Black comedy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
200 1
22ndcentury 1
a 25
according 1
across 1
after 2
again 1
akin 1
all 4
along 1
also 2
always 1
america 1
among 2
an 5
and 19
another 1
any 2
appear 1
are 4
argument 2
arrogance 1
article 2
as 6
attributes 1
aware 1
back 1
background 1
baffle 1
be 2
beautiful 1
became 2
because 2
become 2
becomes 1
befallen 1
before 1
befriends 1
being 1
betelgeuse 1
between 2
birds 1
book 1
born 1
breaks 1
brought 1
build 1
built 1
but 1
by 5
came 1
can 1
cant 2
carry 1
centerpoint 1
children 1
china 1
chooses 1
chrono 3
chronosynclastic 3
church 1
civilization 1
coexist 1
come 1
comes 1
communicate 1
component 2
comprehensible 1
consequently 1
constant 5
construction 1
control 1
create 1
damaged 1
defined 1
deliberately 1
delivered 1
derived 1
description 1
detailed 1
dies 2
different 2
disappearance 1
disassemble 1
displeasure 1
disrupts 1
distant 1
distraught 1
divine 1
dog 1
each 1
earlier 1
earth 6
encounter 1
encountered 1
encyclopedia 1
england 1
enough 1
enter 1
entered 1
equally 1
established 1
events 2
evolve 1
exile 1
exist 2
experiences 1
expert 1
explanation 1
explorer 2
extraordinary 1
exwife 1
father 1
favor 1
fellow 1
fictional 1
figures 1
finally 1
first 1
fit 1
following 1
for 4
fortune 2
from 9
fund 1
future 2
galaxy 1
geometrical 1
get 1
god 1
great 1
greatest 1
group 1
hallucination 1
has 1
have 1
he 13
help 1
here 1
him 4
himself 1
his 11
history 1
human 2
humans 2
imaginable 1
implanted 1
in 12
indifferent 1
information 1
informing 1
informs 1
infundibula 1
infundibulum 4
instigated 1
insult 1
interestingly 1
interplanetary 1
intersects 1
into 2
invasion 2
is 11
it 4
journey 1
kazak 3
kazakmdashentered 1
kinds 1
known 1
kremlin 1
language 1
large 2
layman 1
leads 1
left 1
live 1
luck 1
lying 1
makes 1
malachi 2
man 3
manages 1
manipulated 1
manipulating 1
many 2
mars 3
martian 3
materialize 1
materializing 1
matter 1
mechanics 1
meets 1
mercury 1
message 1
messages 1
metal 2
millennia 2
mind 1
moments 1
mother 1
mover 1
much 1
needs 1
new 1
niles 1
notes 1
nothingness 1
novel 2
observe 1
of 21
on 7
only 1
or 1
order 1
organization 1
ostensibly 1
other 1
others 1
out 3
over 1
part 3
past 1
peat 1
people 1
permanently 1
personal 1
phenomena 1
phenomenon 2
pilloried 1
place 2
places 2
planet 3
planets 1
pleasant 1
possesses 1
possible 1
power 1
powered 1
predictions 1
predicts 1
preparation 1
previously 1
prime 1
primitive 1
private 1
probability 1
produce 1
progress 1
protagonist 1
quantum 1
quotes 1
reader 1
reassemble 1
repair 1
repairs 1
replacement 2
requests 1
respond 1
responsible 2
returns 1
richest 1
right 1
robot 1
rumfoord 14
salo 10
saucer 1
sculpts 1
secretly 1
sending 1
separately 1
several 1
shipmdashcarrying 1
sign 1
similar 1
since 1
slaughterhousefive 1
small 3
so 3
sol 1
solar 1
solid 1
somewhat 1
son 1
source 2
space 2
spacecraft 3
spaceship 1
spiral 3
star 1
state 2
statues 1
stonehenge 1
stranding 1
strands 1
stretching 1
strip 1
such 1
sun 1
sunspot 1
survivor 1
system 2
takes 1
temporarily 1
that 10
the 51
their 2
then 1
there 1
thereby 1
therefore 1
these 1
they 2
thirtytwo 1
this 4
those 1
three 1
throughout 1
titan 4
titanian 1
titanic 1
title 1
to 26
together 1
tralfamadore 2
tralfamadorian 2
tralfamadorians 2
tralfamdorian 1
traveling 1
traveller 1
true 1
truths 1
turn 1
turns 1
unite 1
universal 1
universe 3
unless 1
unresolved 1
upon 1
used 1
using 1
utterly 1
uwtb 3
valid 1
vastness 1
via 1
vonnegut 4
wall 1
war 3
was 2
wave 1
waves 1
ways 2
wealthy 1
were 1
when 3
where 5
which 5
who 1
will 1
winston 1
wish 1
with 5
women 1
world 1
would 2
years 2
